,freq_down,mag_ratio,skw,sd,maxdd,rev_share,n_decl,cr3_in,cr3_ex,hhi,cat,dep,w,z,dd3,dd5,dd10
אבקת כביסה 6-7 קג,0.4074074074074074,1.4093321422177634,-0.5023519744167702,0.028408217610619676,0.1106203389599262,0.42857142857142855,14,96.27092369114769,95.10619315869872,5913.757149599057,חומרים לכביסה,תכשירי כביסה,38.059360460902795,0.8079657595240562,1.0,1.0,1.0
אבקת כביסה מ- 7.1 קג ומעלה,0.5185185185185185,0.7541269431463521,0.10369012041198226,0.054854317220803604,0.37476950516650864,0.4,10,90.38103664136516,90.38103664136516,5068.520912015671,חומרים לכביסה,תכשירי כביסה,65.85358929014441,0.38917761339682233,1.0,1.0,1.0
אבקת כביסה מ-1.6-3קג,0.5185185185185185,0.9256658997484583,0.6615136376519679,0.023734937528110258,0.14467009431124953,0.46153846153846156,13,78.54287085698844,78.54287085698844,2750.699284054984,חומרים לכביסה,תכשירי כביסה,23.219191659082313,-0.4525504979375074,1.0,1.0,1.0
אבקת כביסה מ-3.1-4.99קג,0.5185185185185185,1.178950729198282,-1.5224791213559636,0.05195918480184752,0.3687260540154842,0.5,12,100.0,100.0,6548.453848839916,חומרים לכביסה,תכשירי כביסה,7.153676291048246,1.0731139603217117,1.0,1.0,1.0
אבקת כביסה מ-5 - 5.99,0.46296296296296297,1.1990340224704,0.3193431135965413,0.06815111471978959,0.3118713956355866,0.5,18,79.95257039212997,79.95257039212997,2836.390575263696,חומרים לכביסה,תכשירי כביסה,31.451786616756397,-0.35231674983190636,1.0,1.0,1.0
אבקת כביסה עד-1.5קג,0.42592592592592593,1.2331450952831,-0.37517621564232323,0.021693478502953473,0.12388472637202791,0.5714285714285714,14,82.25673123424257,82.25673123424257,2917.467301081243,חומרים לכביסה,תכשירי כביסה,22.992957390893714,-0.18848419425124743,1.0,1.0,1.0
אבקת קפה נמס,0.4074074074074074,1.0238559867239805,0.36724625542262695,0.019068825325215873,0.09020471210851844,0.5454545454545454,11,98.27709864698764,95.30049164025296,8758.710953683205,קפה נמס,קפה/קקאו,98.9031613013834,0.9506106495638611,1.0,1.0,0.0
אבקת שוקו,0.5370370370370371,0.7018730511196383,-0.024630903886175372,0.024993748116008623,0.0813132452144033,0.5625,16,89.6106158676006,89.2264280701914,6984.404355633281,שוקו,קפה/קקאו,53.00234205535533,0.3343984495765789,1.0,1.0,0.0
אגוזי מלך,0.46296296296296297,1.1663561941722977,0.27765750085505236,0.12166731881298487,0.4708735771419873,0.5789473684210527,19,83.17300203909969,53.19050078003561,2824.911797794673,פיצוחים,פיצוחים ופירות יבשים ארוזים,34.59763182006612,-0.12333466787267451,1.0,1.0,1.0
אגוזי פקאן,0.5555555555555556,0.7177850915601601,0.43662774924784264,0.10135538146826784,0.32136108154275755,0.6111111111111112,18,76.68797691903329,60.34350835716405,2390.871359652332,פיצוחים,פיצוחים ופירות יבשים ארוזים,23.243264058816628,-0.5844388664194744,1.0,1.0,1.0
