,freq_down,mag_ratio,skw,sd,maxdd,rev_share,n_decl,cr3_in,cr3_ex,hhi,cat,dep,w,z,dd3,dd5,dd10
אביזרי טיפול לתינוק,0.5185185185185185,1.1680756029084387,-0.5908197615157909,0.03835607883451997,0.3230720665684876,0.375,16,59.84198180568909,59.84198180568909,1548.2988796301993,אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,4.100832683706161,-1.1679202444683003,1.0,1.0,1.0
אורגנו,0.48148148148148145,1.1150139234127865,0.41367102185536603,0.7913929545370909,2.7357529126934295,0.34782608695652173,23,74.56485073210077,50.53713409231638,2184.179654693426,אורגנו,עלים ותבלינים טריים,0.5910029714517572,-0.2696911769876648,1.0,1.0,1.0
אורז,0.5370370370370371,0.982465198527974,0.6953999104241073,0.031408790569656404,0.12813757843986,0.5,20,78.40355027748447,73.3580013517776,3197.9474669859837,אורז,אורז קטניות פסטה תבשילים ותערובות,319.62225415509465,-0.03549555042721607,1.0,1.0,1.0
אטריות,0.3888888888888889,1.535259251829469,-0.2228557478116984,0.06394421778661886,0.324413935841404,0.3333333333333333,15,83.1198402298889,68.76040785090477,3350.3805054789377,אטריות,אורז קטניות פסטה תבשילים ותערובות,35.14980405661191,0.25224108209261226,1.0,1.0,1.0
אפטרסאן,0.5370370370370371,0.8548812586390216,-0.3640941091588002,0.12147557161626435,0.45256335278391613,0.4166666666666667,24,100.0,52.55409690419239,4079.863905106364,אפטרסאן,מוצרי שיזוף והגנה מהשמש,1.86084165238165,1.2820845348201675,1.0,1.0,1.0
אשל לבן שמנת,0.5185185185185185,0.704010561346856,0.9542976202129054,0.020368358694808592,0.050133536416332225,0.5714285714285714,7,97.96026978851724,97.96026978851724,7932.10955975449,אשל לבן שמנת,מוצרי חלב ותחליפיו,278.63877753091776,1.1576424186178345,1.0,1.0,0.0
בורקס,0.5,1.0124529771697361,-0.38338083239487725,0.0993169860346959,0.38922541336742056,0.2608695652173913,23,81.09623853733221,77.61121472432201,3469.9261490738754,בורקס,מוצרי בצק קפוא,130.1084768504387,0.12878295240725673,1.0,1.0,1.0
בזיליקום,0.5740740740740741,0.857906558131094,-0.2293690429508273,0.04363398330360334,0.324670666806578,0.35294117647058826,17,50.00925716699368,22.64832060947014,1173.660602637376,בזיליקום,עלים ותבלינים טריים,21.14741611988153,-1.767805981898541,1.0,1.0,1.0
בייגלה,0.5555555555555556,0.7952318979648568,-0.32698341801415803,0.06021047872178467,0.293999850751772,0.38095238095238093,21,71.55509068616134,71.55509068616134,2084.108809219871,בייגלה,חטיפים מלוחים,192.71434285572144,-0.4533139459545788,1.0,1.0,1.0
בירה לבנה באריזה,0.46296296296296297,1.1911700452931933,-0.4066370637439588,0.08318248434195286,0.32225263281127076,0.5714285714285714,21,92.82054892143093,92.82054892143093,2964.09193542985,בירה לבנה באריזה,בירה לבנה,303.28826765775904,0.8440726446404409,1.0,1.0,1.0
