ctg,dep,rev,fx_v2,fx_dom,fx_imp,imp_share,unk_share,identified,n_pairs,simple_score,complex_score
אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,19.041014716589928,41.94999902760324,31.675,42.0,28.16026083090189,60.80798925714617,28.164823087761253,17,55.0,61.67326829512492
אבקות תה,תה,0.44770819020174035,28.106239866125513,27.72,44.64,0.0,89.99115473411194,0.0,3,90.0,90.0
אורגנו,עלים ותבלינים טריים,4.653004578089775,15.357111183075169,8.84,40.8,0.0,10.373783838903945,1.981452402040406,6,15.0,14.999999999999998
אורז,אורז קטניות פסטה תבשילים ותערובות,1603.2278383025784,50.34061503377341,47.99999999999999,56.25,23.513443641901187,5.1840950106713395,82.87817827648104,49,90.0,90.67966981260732
אטריות,אורז קטניות פסטה תבשילים ותערובות,175.20340058570073,49.175628010979054,47.99999999999999,56.25,10.306328814689222,14.20864281669468,72.3249292523869,18,90.0,90.24274924291882
אפטרסאן,מוצרי שיזוף והגנה מהשמש,8.993195048511973,21.80824329897207,21.775000000000002,36.85,0.147555013422909,0.0,66.91248751272558,4,55.0,55.0
אשל לבן שמנת,מוצרי חלב ותחליפיו,1473.3239762644885,10.508127030651949,10.200000000000001,48.75,0.7938017904985062,0.22114744893489208,99.31312731301267,17,15.0,15.28040424905092
בורקס,מוצרי בצק קפוא,576.9624464962027,34.88278303386524,29.340000000000003,46.800000000000004,26.883943224479232,2.0354427629889433,84.68555341811354,24,55.0,62.02039420765123
בזיליקום,עלים ותבלינים טריים,117.39247500776379,14.87584358100629,8.84,40.8,2.3164875066011397,14.997281965338447,14.346422442844027,11,15.0,16.144241525491246
בייגלה,חטיפים מלוחים,971.9505158866999,26.597162390623787,25.2,46.800000000000004,5.144712925981431,14.55794089816003,79.53678108353942,54,55.0,56.33384324401622
בירה לבנה באריזה,בירה לבנה,1631.4239463424556,21.001907660100365,21.000000000000004,48.75,0.006583271721257827,3.157581840932382,95.76432941608508,17,55.0,55.00062952311908
בירה לבנה בודד,בירה לבנה,1107.655390140491,22.36441276614072,21.000000000000004,48.75,4.208334478176111,13.997113882059809,85.5908744534154,60,55.0,55.93879180678002
בירה לבנה בחבית,בירה לבנה,2.2452278805835904,21.44356998869244,21.000000000000004,48.75,0.0,100.0,0.0,3,55.0,54.99999999999999
בירה לבנה בקבוק חוזר,בירה לבנה,407.95249183220943,21.000000000000004,21.000000000000004,48.75,0.0,0.19907087795457132,99.80092912204542,3,55.0,55.00000000000001
בירה ללא אלכוהול,בירה לבנה,29.102579080829464,21.347856499381813,21.000000000000004,48.75,1.0767474965314268,14.103249236831912,85.8967507631681,8,55.0,55.08705312240367
