קטגוריה,מחלקה,מכר (מ׳ ₪),רמה,ציון בסיס,ציון משוקלל,חלק יבואנים במחזור,חלק מאגדים,צמדי יצרן-קטגוריה,החלטה_שלך
חטיפים,חטיפים מלוחים,4637.65181203722,בינוני,55,57.9,11.9,1.1,88,
חלב,מוצרי חלב ותחליפיו,4542.449619677551,נמוך,15,15.0,0.0,0.6,11,
עוף טרי ארוז,עוף/הודו טרי ארוז,4503.802084847334,נמוך,15,24.0,18.8,42.9,29,
יוגורט,מוצרי חלב ותחליפיו,3199.6771007353773,נמוך,15,15.3,0.7,0.6,26,
חלקי עוף טרי,קצביה עוף טרי,3013.274624374251,נמוך,15,15.0,0.0,83.9,13,
דגים קפואים בואקום,דגים קפואים,2743.4027842334235,גבוה,90,90.7,24.5,29.1,48,
נתחים קדמי טרי,קצביה בשרית טרי,2594.595544839284,נמוך,15,19.1,8.6,88.9,15,
גבינות צהובות מדף,מוצרי חלב ותחליפיו,2449.575720685077,נמוך,15,16.8,3.8,7.7,15,
חטיפים מתוקים,בונבוניירות חטיפים מתוקים,2091.1673074860814,גבוה,90,90.9,31.6,0.3,60,
ירקות קפואים,ירקות ופירות קפואים,1933.8602033248565,בינוני,55,58.7,15.5,21.5,45,
נייר טואלט,מוצרי נייר,1922.7937034187612,נמוך,15,15.5,1.0,19.9,39,
חיתולים,אביזרים ומוצרי תינוקות,1885.536746260872,גבוה,90,90.7,22.1,6.0,6,
שימורי טונה,שימורים,1802.9828323876827,גבוה,90,92.0,67.3,13.3,35,
חומרים לכביסה,תכשירי כביסה,1690.0624017682867,בינוני,55,65.3,43.0,6.7,29,
קוטג,מוצרי חלב ותחליפיו,1688.014041908109,נמוך,15,15.0,0.0,0.0,3,
מים בבקבוק,משקאות לא אלכוהולים,1687.4547850565932,נמוך,15,15.4,0.8,2.6,21,
מעדנים,מוצרי חלב ותחליפיו,1662.9207184954691,נמוך,15,15.0,0.0,0.1,9,
משקה קולה דיאט,משקאות לא אלכוהולים,1633.524621807439,נמוך,15,15.0,0.0,0.0,4,
כלים חד פעמים,אביזרים לארוח,1596.466543093049,גבוה,90,91.7,55.2,31.1,106,
דגנים,דגנים ודגנים מיוחדים,1573.3436047075786,גבוה,90,90.2,6.9,3.3,44,
עוגיות פרימיום,מאפים מתוקים ומלוחים,1533.6280007080084,בינוני,55,66.9,49.7,0.8,67,
שמנים רגילים,שמנים,1487.0560184730878,גבוה,90,90.7,22.3,29.2,79,
לחם ארוז מיוחד,לחם ותחליפיו,1482.663666531022,נמוך,30,32.3,6.0,5.7,73,
פיתות ארוזות,לחם ותחליפיו,1440.5470801086835,נמוך,30,32.1,5.3,17.3,62,
תחליפי חלב אם חלבי,מזון תינוקות/ילדים,1426.63670757006,בינוני,55,79.0,100.0,0.0,3,
בשר טחון טרי,קצביה בשרית טרי,1389.257594572713,נמוך,15,18.6,7.5,90.3,6,
משקאות חלב,מוצרי חלב ותחליפיו,1388.8781055343952,נמוך,15,15.1,0.1,0.0,7,
גבינות לבנות,מוצרי חלב ותחליפיו,1373.6562575501569,נמוך,15,16.0,2.0,0.3,17,
קפה נמס,קפה/קקאו,1372.2014267094185,גבוה,90,90.6,18.4,1.3,14,
גבינות צהובות במשקל,מעדניה חלבית,1366.9275784937258,נמוך,15,15.6,1.3,4.0,13,
משקה קולה רגיל,משקאות לא אלכוהולים,1345.597194855545,נמוך,15,15.0,0.0,0.0,5,
פסטרמות ונקניקים ארוזים,מזון מקורר ארוז,1337.186470208015,בינוני,55,55.0,0.0,3.7,20,
מיכלי שמנת מתוקה,מוצרי חלב ותחליפיו,1298.7666391160208,נמוך,15,17.4,5.0,0.1,17,
גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,1197.4238396427695,נמוך,15,28.5,28.0,5.8,43,
גבינות מלוחות מדף,מוצרי חלב ותחליפיו,1172.3120337952037,נמוך,15,16.7,3.5,1.7,27,
שימורי עגבניות,שימורים,1108.954157854832,גבוה,90,90.1,1.8,11.9,44,
תחליפי לחם,לחם ותחליפיו,1099.78686103291,נמוך,30,33.6,9.3,14.3,76,
יוגורט חלבון,מוצרי חלב ותחליפיו,1084.2585382752393,נמוך,15,15.1,0.2,0.0,5,
עוגיות בייסיק,מאפים מתוקים ומלוחים,1068.3919081506692,בינוני,55,60.0,20.7,15.7,140,
שמן זית,שמנים,1065.9240065856757,גבוה,90,90.5,17.9,37.9,56,
מגבונים לחים,אביזרים ומוצרי תינוקות,1065.754443268794,גבוה,90,90.2,8.0,37.1,42,
הגיינה נשית,היגיינה וטיפוח הגוף,1064.2235185489055,גבוה,90,92.0,67.8,4.0,22,
מגבות נייר,מוצרי נייר,1041.4051835674973,נמוך,15,15.1,0.1,35.4,17,
חמאה,מוצרי חלב ותחליפיו,1038.1713421329416,נמוך,15,20.8,12.2,2.6,24,
משחות שיניים,היגיינת הפה,1004.7385177884698,בינוני,55,69.5,60.4,1.3,21,
בירה לבנה באריזה,בירה לבנה,999.1641190218808,בינוני,55,55.0,0.0,1.2,16,
קמח,עזרי אפייה ובישול,977.8946001634878,גבוה,90,90.1,4.1,24.9,81,
מרכך כביסה,תכשירי כביסה,964.880224646223,בינוני,55,57.5,10.6,6.8,22,
מוצרי בשר על האש,בשר ועוף קפוא,948.8083719409073,בינוני,55,65.0,41.6,12.6,47,
אורז,אורז קטניות פסטה תבשילים ותערובות,948.6886870620276,גבוה,90,90.7,22.7,12.0,44,
משקאות קלים,משקאות לא אלכוהולים,943.5516223784068,נמוך,15,15.2,0.4,0.4,43,
ממרחים מתוקים,רטבים וממרחים,935.0061851638148,בינוני,55,68.3,55.6,2.6,54,
משקאות תחליפי חלב מצונן,מוצרי חלב ותחליפיו,917.8886883263056,בינוני,55,55.0,0.0,0.0,6,
חסה,עלים ותבלינים טריים,915.8129260158688,נמוך,15,18.2,6.7,55.8,24,
יין אדום,יינות שולחניים,899.7529913670935,נמוך,15,15.8,1.7,5.9,44,
אשל לבן שמנת,מוצרי חלב ותחליפיו,880.4358577094483,נמוך,15,15.3,0.6,0.2,13,
פסטה,אורז קטניות פסטה תבשילים ותערובות,868.0311939375694,גבוה,90,90.9,30.9,13.4,64,
גלידות חבילות בית,גלידות ושלגונים,863.3287033508716,בינוני,55,56.4,6.0,0.2,22,
בשר בקר קפוא,בשר ועוף קפוא,860.7501262112402,גבוה,90,90.9,29.7,23.3,41,
פיצוחים,פיצוחים ופירות יבשים ארוזים,860.4085078744301,גבוה,90,91.2,41.1,24.6,67,
קפה טורקי,קפה/קקאו,856.4844851331864,גבוה,90,90.1,3.3,4.3,17,
עוף קפוא,בשר ועוף קפוא,816.8939809974601,נמוך,25,35.4,24.8,10.6,30,
וופלים,מאפים מתוקים ומלוחים,812.172233974981,בינוני,55,63.5,35.4,9.4,61,
טבלאות שוקולד חלב בודד,שוקולד טבלאות,786.0375467234226,גבוה,90,90.7,23.4,2.3,55,
לחמניות ארוזות,לחם ותחליפיו,740.7380864762608,נמוך,30,35.8,14.9,9.1,48,
סבון לגוף,סבוני רחצה,730.3205091839183,בינוני,55,60.8,24.0,7.6,24,
דגי פילה טריים,קצביה דגים טריים,727.4519341498429,גבוה,90,90.2,6.8,92.5,8,
גבינות שמנת,מוצרי חלב ותחליפיו,724.2687544922755,נמוך,15,24.5,19.8,0.4,17,
שמפו,טיפוח השיער,713.0888330433472,בינוני,55,61.7,28.0,2.6,39,
מיונז,רטבים וממרחים,712.6837701344793,בינוני,55,57.5,10.3,3.8,31,
מסטיקים ללא סוכר,מסטיקים,695.2721661595488,בינוני,55,73.6,77.6,0.6,7,
