weighted,spec,term,phase,b,se,pc,F,pj
False,בלי בקרת ייבוא,ריכוזיות,כל התקופה,0.14057181595962084,0.43751417595137226,0.747985634871208,1.3463277526211346,0.06797780020479442
False,בלי בקרת ייבוא,ריכוזיות,לפני 2025,0.09266911663389402,0.5643826006294765,0.8695771970192798,1.691404497184096,0.011181633743189798
False,בלי בקרת ייבוא,ריכוזיות,מ־2025 ואילך,0.23637721461107453,0.44891606124093236,0.5985054058232087,0.7905735626183065,0.7108419942235326
False,בלי בקרת ייבוא,ענקיות,כל התקופה,-1.7513283780683837,0.8978069377114882,0.0510958742617186,2.468528059579817,1.2923179364591522e-06
False,בלי בקרת ייבוא,ענקיות,לפני 2025,-2.550488283211471,1.1509991396628294,0.026698988980657902,2.2959149989637924,0.00010551977479630802
False,בלי בקרת ייבוא,ענקיות,מ־2025 ואילך,-0.15300856778220967,0.8860342991336959,0.8628957214316505,1.707545674094319,0.03829991787160917
False,עם בקרת ייבוא v2,ריכוזיות,כל התקופה,0.14479713088292567,0.4276771972553706,0.7349363948121794,1.332024326712047,0.07527680612384158
False,עם בקרת ייבוא v2,ריכוזיות,לפני 2025,0.09219189319981161,0.5540905246260027,0.8678546291846234,1.6546159320893083,0.014424669803245336
False,עם בקרת ייבוא v2,ריכוזיות,מ־2025 ואילך,0.25000760624915386,0.4490568946964574,0.577705584356114,0.7761570515919658,0.7275350269491331
False,עם בקרת ייבוא v2,ענקיות,כל התקופה,-1.7460472535649776,0.9204652952143776,0.057838751827482285,2.4787123025758384,1.1548845653288762e-06
False,עם בקרת ייבוא v2,ענקיות,לפני 2025,-2.5510847538682815,1.1779540755460642,0.030334793345421347,2.390209944947919,4.816720519287547e-05
False,עם בקרת ייבוא v2,ענקיות,מ־2025 ואילך,-0.13597225295836957,0.9037192832777788,0.8804028856469005,1.7451451078831206,0.03256187185771397
False,עם בקרת ייבוא v2,ייבוא,כל התקופה,0.03366342453211037,0.39095416947148454,0.9313823069050633,3.9319065218488642,8.780006625319082e-14
False,עם בקרת ייבוא v2,ייבוא,לפני 2025,-0.0038020775521804048,0.5255048906579821,0.9942272801540124,3.3044933666417418,1.7025730178686523e-08
