measure,weighted,spec,term,phase,b,se,pc,F,pj
CR3 עם מאגדים,True,בלי בקרת ייבוא,ריכוזיות,כל התקופה,0.8205756064822838,1.1752261299174374,0.48503471618959226,5.439597292509251,8.143623970367603e-21
CR3 עם מאגדים,True,בלי בקרת ייבוא,ריכוזיות,2023-2024,0.4676231714143183,1.4243451367875204,0.7426791843943724,3.2260971968047136,1.9034406216641394e-06
CR3 עם מאגדים,True,בלי בקרת ייבוא,ריכוזיות,2025-2026,1.78466853908326,1.6783418613183185,0.28762225336860836,3.4190704491239456,4.294091450378004e-06
CR3 עם מאגדים,True,עם בקרת ייבוא,ריכוזיות,כל התקופה,0.014258575807038508,0.8584244954858884,0.9867476121163643,5.050839567467843,4.71692536735013e-19
CR3 עם מאגדים,True,עם בקרת ייבוא,ריכוזיות,2023-2024,-0.27225930064251797,1.048637754234215,0.7951481038592663,2.283105974499043,0.0008553707490165853
CR3 עם מאגדים,True,עם בקרת ייבוא,ריכוזיות,2025-2026,0.3851813097267118,1.255108954633571,0.7589265413354171,2.229509908843492,0.002849296635961629
CR3 עם מאגדים,True,עם בקרת ייבוא,ייבוא,כל התקופה,-1.6680444875182867,0.7809657146443365,0.032689672549121154,7.260287056106375,1.5722421864410729e-28
CR3 עם מאגדים,True,עם בקרת ייבוא,ייבוא,2023-2024,-1.5306099610624175,0.9029163347250364,0.09004038734974353,3.84170995729001,3.001473621178549e-08
CR3 עם מאגדים,True,עם בקרת ייבוא,ייבוא,2025-2026,-2.895147776210934,1.183584561939383,0.01444171744267285,4.49760116333318,8.933400210796586e-09
CR3 עם מאגדים,False,בלי בקרת ייבוא,ריכוזיות,כל התקופה,-0.06879516565450147,0.562506932893438,0.902660632661567,1.6594197984558747,0.005255128971770069
CR3 עם מאגדים,False,בלי בקרת ייבוא,ריכוזיות,2023-2024,-0.29805896016056876,0.6410720056366644,0.6419756066021294,2.2352709508511994,0.0011464470209063336
CR3 עם מאגדים,False,בלי בקרת ייבוא,ריכוזיות,2025-2026,0.17735162804505591,0.8884785070960154,0.8417834642761937,0.8288378557292703,0.6716052394144698
CR3 עם מאגדים,False,עם בקרת ייבוא,ריכוזיות,כל התקופה,-0.06919748403834937,0.5503286862646605,0.899938953133521,1.6115322268256114,0.008054669997479856
