weighted,spec,term,phase,b,se,pc,F,pj
False,בלי בקרת ייבוא,ריכוזיות,כל התקופה,-0.44751933910235847,0.7740066237263505,0.5631389462393828,1.3463277526212247,0.06797780020475054
False,בלי בקרת ייבוא,ריכוזיות,פיחות 2/22-10/23,-0.22839981817765173,0.5441905494248266,0.674700537522533,2.3959564906205593,0.000783225949792324
False,בלי בקרת ייבוא,ריכוזיות,ייסוף 11/23-7/26,-0.5869590342362628,0.9696105970438795,0.5449428624522324,0.9500727123386445,0.5503633776646552
False,בלי בקרת ייבוא,ענקיות,כל התקופה,1.3716021200951076,1.537435296466992,0.3723197814732947,2.468528059580217,1.292317936453427e-06
False,בלי בקרת ייבוא,ענקיות,פיחות 2/22-10/23,-0.2951335018567606,1.1351521514407195,0.7948678898473305,1.8232635203294412,0.016959185463842088
False,בלי בקרת ייבוא,ענקיות,ייסוף 11/23-7/26,2.4322520613372056,1.8916319495092209,0.1985144018279189,2.1157334127426344,0.0006720055843861611
False,עם בקרת ייבוא v2,ריכוזיות,כל התקופה,-0.4313157699281695,0.7762222358528809,0.578443198301414,1.33202432671174,0.07527680612400518
False,עם בקרת ייבוא v2,ריכוזיות,פיחות 2/22-10/23,-0.21963078093168228,0.5540330482562418,0.6917938829713757,2.246592237814043,0.001808159192218375
False,עם בקרת ייבוא v2,ריכוזיות,ייסוף 11/23-7/26,-0.5660243992895704,0.9679457275105096,0.5587032290991261,0.9190915408228607,0.5989865367039403
False,עם בקרת ייבוא v2,ענקיות,כל התקופה,1.3918545906791682,1.5514850030399878,0.369659576768655,2.4787123025763385,1.1548845653224726e-06
False,עם בקרת ייבוא v2,ענקיות,פיחות 2/22-10/23,-0.2841732827247488,1.1415681129851352,0.8034130774453712,1.879206719338833,0.012792359261267438
False,עם בקרת ייבוא v2,ענקיות,ייסוף 11/23-7/26,2.4584177828452973,1.9107354671645385,0.19822178394020806,2.1311407260537645,0.0005984386300418692
False,עם בקרת ייבוא v2,ייבוא,כל התקופה,0.12909514150055884,0.5876352898087055,0.8261158475791716,3.9319065218463094,8.780006625569632e-14
False,עם בקרת ייבוא v2,ייבוא,פיחות 2/22-10/23,0.06986362645801439,0.4061539020184548,0.8634275501659172,3.8329281887476,1.4115899786039957e-07
