yr,ctg,rev,n_named,bucket_pct,cr3
2024,כבש קפוא,25.63,7,14.85,80.77
2024,שטיפות פה,66.54,15,5.64,71.59
2024,בשר בקר חלקי פנים,8.56,2,93.45,6.55
2025,מברשות שיניים,170.29,24,11.93,61.85
2025,קרם פנים,18.91,10,0.81,82.23
2025,יין אדום,345.69,34,5.05,65.87
2025,מרגרינה,67.75,4,,99.54
2025,כריכים,58.07,4,1.45,96.1
2025,משקאות וויסקי,231.4,17,19.98,64.88
2025,משקאות חמוציות,15.14,4,1.26,98.55
2025,משקה מוגז עדין בטעמים,40.02,1,,100.0
2025,תכשירים לניקוי חלונות,33.58,9,24.86,65.39
2025,סבון נוזלי לידיים/משאבה,92.02,21,32.83,50.41
2025,סלט חצילים,81.65,14,11.74,82.55
2025,סלטים מזרחיים,46.15,8,4.05,90.8
2025,טחינה גולמית,189.03,18,10.47,74.61
2025,שימורי עגבניות,428.62,34,14.08,67.67
2025,תבלינים במיכל,163.74,22,9.48,64.65
2025,מסירי אבנית וניקוי מכונות כביסה,6.55,3,,100.0
2022,גבינת לאבנה,80.79,16,2.19,78.0
2022,נייר טואלט,660.48,25,25.52,62.32
2022,מוצרי בצק טרי,27.64,5,,99.49
2022,משקאות וויסקי,132.55,15,11.05,58.97
2022,משקאות חמוציות,14.53,9,,89.62
2022,סלט חצילים,80.35,12,12.24,81.39
2022,רוזמרין,2.14,5,63.54,30.95
2024,שימורי פירות וקוקטלים,59.13,30,23.39,51.89
2022,מיץ טבעי סחוט מקורר,199.54,7,0.13,99.67
2025,חזה בגריל צמחוני,3.57,1,0.25,99.75
2022,חלקי עוף/הודו מתובל טרי ארוז,3.02,0,100.0,0.0
2024,שימורי זיתים שחורים,34.08,14,10.7,71.74
2022,משקה מוגז עדין בטעמים,37.31,2,,100.0
2023,משחות שיניים,358.33,18,1.97,88.36
2023,שמפו+מרכך,10.05,6,6.65,75.83
2023,לחמניות ארוזות,246.08,44,8.39,54.94
2023,עוגות מדף ארוזות,130.33,49,7.72,78.19
2023,אשל לבן שמנת,314.25,14,,98.49
2023,מוצרלה טרייה,47.47,8,3.04,90.75
2023,מחיות לתינוק,52.14,5,6.89,92.22
2023,מוצרי אקונומיקה,118.91,17,19.8,78.14
2023,סלטי דגים,24.58,9,7.84,86.7
2023,סלק עלים,16.38,16,18.91,55.5
2023,רוקט,3.95,6,42.45,49.51
2023,חלקי עוף טרי,1056.96,26,47.15,30.63
2023,שימורי דגים,101.38,58,13.86,29.02
2023,שימורי פיטריות,53.16,16,20.82,71.44
2024,מים מועשרים,129.15,7,0.72,97.83
2024,נקטר,34.44,11,8.52,74.4
2024,כוסברה,128.11,26,29.18,44.8
2024,קורנית,4.15,5,52.84,41.42
2024,תה שחור בטעמים,36.86,16,5.69,75.95
