קטגוריה,מחלקה,מכר 2024 (מ׳ ₪),חשיפת מט״ח v0,החלטה_שלך
עוף טרי ארוז,עוף/הודו טרי ארוז,1756.162451475618,15,
חלב,מוצרי חלב ותחליפיו,1696.5012863824406,15,
חטיפים,חטיפים מלוחים,1678.592751196059,50,
יוגורט,מוצרי חלב ותחליפיו,1185.4804333735638,15,
חלקי עוף טרי,קצביה עוף טרי,1121.013651235888,15,
דגים קפואים בואקום,דגים קפואים,1101.529934998864,85,
נתחים קדמי טרי,קצביה בשרית טרי,969.2162757857296,50,
גבינות צהובות מדף,מוצרי חלב ותחליפיו,895.6784808885686,15,
חטיפים מתוקים,בונבוניירות חטיפים מתוקים,753.089446880457,85,
ירקות קפואים,ירקות ופירות קפואים,732.6087979526942,50,
נייר טואלט,מוצרי נייר,729.8081751074104,15,
חיתולים,אביזרים ומוצרי תינוקות,696.4225790108133,85,
שימורי טונה,שימורים,695.1915509309353,85,
מעדנים,מוצרי חלב ותחליפיו,625.4814567295828,15,
מים בבקבוק,משקאות לא אלכוהולים,624.4037952803799,15,
קוטג,מוצרי חלב ותחליפיו,620.3581876415865,15,
חומרים לכביסה,תכשירי כביסה,611.6676829269832,50,
משקה קולה דיאט,משקאות לא אלכוהולים,591.309641714214,15,
כלים חד פעמים,אביזרים לארוח,584.2785150940224,50,
שמנים רגילים,שמנים,583.3789891252375,85,
דגנים,דגנים ודגנים מיוחדים,579.5368139308573,85,
עוגיות פרימיום,מאפים מתוקים ומלוחים,578.4203115172895,50,
לחם ארוז מיוחד,לחם ותחליפיו,546.5812734360939,15,
תחליפי חלב אם חלבי,מזון תינוקות/ילדים,542.6088971149978,50,
פיתות ארוזות,לחם ותחליפיו,516.7877545598488,15,
גבינות לבנות,מוצרי חלב ותחליפיו,510.3543378819387,15,
משקה קולה רגיל,משקאות לא אלכוהולים,510.1366493680572,15,
פסטרמות ונקניקים ארוזים,מזון מקורר ארוז,510.032496213269,50,
בשר טחון טרי,קצביה בשרית טרי,504.38865180541,50,
גבינות צהובות במשקל,מעדניה חלבית,485.5086813544692,15,
קפה נמס,קפה/קקאו,476.013952603756,85,
מיכלי שמנת מתוקה,מוצרי חלב ותחליפיו,474.9050301224208,15,
משקאות חלב,מוצרי חלב ותחליפיו,460.6847894944688,15,
שמן זית,שמנים,448.5191604518161,85,
גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,437.37083170893607,15,
גבינות מלוחות מדף,מוצרי חלב ותחליפיו,430.6627722915727,15,
שימורי עגבניות,שימורים,421.40327543317824,85,
עוגיות בייסיק,מאפים מתוקים ומלוחים,409.1508263266884,50,
תחליפי לחם,לחם ותחליפיו,400.4954320591776,50,
הגיינה נשית,היגיינה וטיפוח הגוף,399.6305335352182,85,
מגבונים לחים,אביזרים ומוצרי תינוקות,398.31543233094885,85,
משחות שיניים,היגיינת הפה,383.9672513690383,85,
חמאה,מוצרי חלב ותחליפיו,381.1179605397848,15,
מרכך כביסה,תכשירי כביסה,380.8309019734468,50,
מגבות נייר,מוצרי נייר,377.5324277892532,15,
בירה לבנה באריזה,בירה לבנה,377.467953457808,15,
משקאות קלים,משקאות לא אלכוהולים,370.4673142468711,15,
קמח,עזרי אפייה ובישול,370.048920819724,50,
יוגורט חלבון,מוצרי חלב ותחליפיו,361.746363230225,15,
אורז,אורז קטניות פסטה תבשילים ותערובות,356.10432988532403,85,
משקאות תחליפי חלב מצונן,מוצרי חלב ותחליפיו,351.7130057264057,50,
