מחלקה,מדד יבוא (יצרנים) %,כיסוי סיווג %,עוצמת יבוא Comtrade,ביטחון מיפוי HS
קצביה דגים טריים,99.1,19.0,10.63,B
תה,98.1,79.6,,
מוצרי גילוח,97.1,75.3,,
אביזרים לארוח,94.1,45.2,,
היגיינת הפה,93.2,92.5,,
מזון תינוקות/ילדים,80.7,94.7,2.88,B
שטיפת כלים,80.7,93.7,,
סוכריות,80.0,54.4,,
קצביה בשרית טרי,73.7,12.1,5.37,A
פיצוחים ופירות יבשים ארוזים,72.8,50.3,6.55,B
היגיינה וטיפוח הגוף,71.5,86.9,,
חטיפי דגנים וחלבון,69.6,62.3,,
מסטיקים,61.3,55.2,,
קצביה בשרית מופשר,60.9,15.2,,
אביזרים ומוצרי תינוקות,59.3,79.7,,
דגים קפואים,58.7,62.3,3.0,A
מאפים מתוקים ומלוחים,58.1,73.3,1.08,B
שימורים,56.7,79.6,1.63,B
דגנים ודגנים מיוחדים,51.8,77.0,0.78,A
תכשירי כביסה,49.7,88.1,,
טיפוח השיער,47.5,81.3,,
אורז קטניות פסטה תבשילים ותערובות,46.5,74.1,2.56,A
טיפוח פנים,44.0,9.3,,
בשר ועוף קפוא,43.4,70.1,3.56,B
רטבים וממרחים,43.2,79.6,,
שמנים,43.2,46.2,,
סבוני רחצה,41.4,87.5,,
מוצרי בצק קפוא,36.7,76.7,,
חטיפים מלוחים,35.0,88.0,2.65,C
מזון מוכן קפוא מן הצומח,33.6,94.7,,
משקאות חריפים,30.7,87.3,,
עוף/הודו טרי ארוז,29.9,57.0,,A
בונבוניירות חטיפים מתוקים,28.8,97.1,3.4,C
קפה/קקאו,27.2,93.5,2.76,A
גלידות ושלגונים,26.9,93.8,,
תבלינים,25.0,69.7,4.32,A
עזרי אפייה ובישול,23.9,14.4,0.39,C
עלים ותבלינים טריים,23.1,24.5,,
ירקות ופירות קפואים,23.0,72.6,1.01,A
שוקולד טבלאות,21.6,73.3,2.71,B
מזנונים,20.9,6.8,,
לחם ותחליפיו,18.7,64.7,0.62,C
סלטים ארוזים,18.6,81.9,,
ניקוי הבית,12.3,73.8,,
מעדניה חלבית,10.6,87.2,0.95,C
מזון מקורר ארוז,9.2,89.1,,
יינות שולחניים,7.3,77.9,,
קצביה הודו/בעלי כנף טרי,5.3,16.1,,
מוצרי חלב ותחליפיו,4.2,95.9,0.43,B
בירה לבנה,3.8,90.7,,
משקאות לא אלכוהולים,2.9,97.9,,
מוצרי נייר,1.0,74.5,,
מוצרי שיזוף והגנה מהשמש,0.0,74.0,,
קצביה עוף טרי,0.0,16.1,,B
