month,cr3_b,cr3_se,cr3_lo,cr3_hi,giant_b,giant_se,exp_b,exp_se,usd_ils
2022-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1343
2022-02,-0.229,0.243,-0.705,0.247,-0.016,0.524,-0.492,0.213,3.2138
2022-03,-0.863,0.446,-1.738,0.011,0.184,0.969,-0.16,0.362,3.2433
2022-04,-1.112,0.752,-2.587,0.363,1.112,1.201,0.661,0.667,3.2422
2022-05,-1.791,0.542,-2.854,-0.729,0.263,1.016,0.582,0.407,3.382
2022-06,-1.505,0.501,-2.487,-0.523,0.713,1.098,0.433,0.41,3.414
2022-07,-1.326,0.505,-2.315,-0.336,0.214,1.14,-0.242,0.438,3.4655
2022-08,-1.216,0.514,-2.224,-0.208,-0.278,1.102,-0.342,0.427,3.2988
2022-09,-0.889,0.599,-2.064,0.285,-1.297,1.257,-0.788,0.511,3.4422
2022-10,-1.216,0.576,-2.345,-0.088,-0.33,1.262,-0.264,0.531,3.5479
2022-11,0.306,0.606,-0.882,1.494,-0.781,1.248,-0.247,0.447,3.4796
2022-12,0.708,0.771,-0.804,2.22,-2.9,1.543,0.536,0.579,3.4516
2023-01,0.509,0.774,-1.008,2.025,-1.335,1.476,0.005,0.528,3.4453
2023-02,0.286,0.783,-1.248,1.821,0.191,1.498,0.029,0.602,3.5431
2023-03,-1.178,0.877,-2.897,0.54,0.937,1.592,-0.067,0.668,3.62
2023-04,-2.761,0.814,-4.357,-1.166,0.658,1.577,0.25,0.705,3.6384
2023-05,-1.715,0.844,-3.369,-0.062,0.279,1.616,0.53,0.648,3.6601
2023-06,-0.924,0.796,-2.484,0.636,0.004,1.558,-0.572,0.66,3.6446
2023-07,-0.852,0.804,-2.428,0.723,0.579,1.537,-0.725,0.652,3.6684
2023-08,-0.83,0.794,-2.386,0.726,0.306,1.548,-0.782,0.667,3.7459
2023-09,-1.34,0.853,-3.012,0.332,0.108,1.63,-0.978,0.692,3.8202
2023-10,-1.353,0.892,-3.101,0.395,-0.214,1.678,-0.442,0.768,3.9783
2023-11,-1.364,0.905,-3.137,0.409,-0.088,1.65,-0.399,0.679,3.8058
2023-12,-1.12,0.967,-3.014,0.775,0.483,1.723,0.206,0.745,3.671
2024-01,-1.485,0.915,-3.278,0.308,-0.187,1.601,0.692,0.734,3.7133
2024-02,-1.678,0.953,-3.546,0.19,0.008,1.685,1.008,0.754,3.6458
2024-03,-2.245,0.98,-4.165,-0.324,1.293,1.816,1.05,0.755,3.6278
2024-04,-2.863,1.125,-5.069,-0.658,2.858,2.018,1.796,0.913,3.7433
2024-05,-2.382,0.973,-4.289,-0.474,1.164,1.819,0.838,0.799,3.7075
2024-06,-1.144,0.995,-3.093,0.806,1.874,1.847,1.18,0.802,3.7247
2024-07,-0.867,0.976,-2.779,1.046,2.203,1.866,0.196,0.761,3.6814
2024-08,-0.519,1.06,-2.596,1.558,1.898,1.994,0.347,0.808,3.7318
2024-09,-0.612,1.034,-2.639,1.415,2.088,1.98,0.436,0.832,3.7328
2024-10,-1.898,1.051,-3.957,0.161,1.9,2.071,-0.675,1.177,3.7516
2024-11,-0.836,1.042,-2.878,1.205,2.787,2.03,0.437,0.775,3.7188
2024-12,0.009,1.019,-1.989,2.006,1.278,1.962,0.82,0.817,3.6177
2025-01,-0.419,1.019,-2.417,1.578,2.257,1.978,0.628,0.82,3.6153
2025-02,0.129,1.069,-1.966,2.225,3.431,2.107,0.939,0.83,3.5678
2025-03,-0.566,1.086,-2.694,1.562,2.868,2.202,0.577,0.948,3.6551
2025-04,-1.079,1.183,-3.399,1.24,3.322,2.261,1.398,0.951,3.6975
2025-05,-0.696,1.136,-2.923,1.53,0.745,2.358,0.592,1.178,3.5627
2025-06,-0.275,0.992,-2.219,1.669,2.092,1.969,0.64,0.861,3.4826
2025-07,-0.875,1.454,-3.725,1.974,1.869,2.199,0.164,1.0,3.3522
2025-08,-0.841,1.193,-3.179,1.496,1.858,2.073,0.525,0.976,3.3958
2025-09,-0.525,1.232,-2.94,1.889,0.864,2.188,0.795,0.995,3.3432
2025-10,-0.432,1.18,-2.745,1.881,3.01,2.203,1.079,1.019,3.2806
2025-11,0.052,1.295,-2.486,2.591,1.381,2.151,0.75,1.019,3.2548
2025-12,0.098,1.41,-2.666,2.861,2.003,2.227,1.056,1.039,3.2151
2026-01,-0.736,1.403,-3.486,2.013,1.142,2.173,0.706,1.039,3.1456
2026-02,-0.809,1.443,-3.637,2.019,1.26,2.18,0.897,1.022,3.1027
2026-03,-1.839,1.447,-4.675,0.996,3.331,2.32,1.519,1.133,3.1156
2026-04,-2.34,1.417,-5.117,0.436,2.921,2.157,0.363,1.078,3.0152
2026-05,-1.684,1.385,-4.398,1.03,1.2,2.172,1.139,1.012,2.9008
2026-06,-1.863,1.458,-4.72,0.993,0.441,2.42,-0.823,1.405,2.936
2026-07,-1.578,1.473,-4.466,1.31,0.983,2.198,-0.018,1.056,3.0314
