m,cr3_b,cr3_se,giant_b,giant_se
2024-01,0.0,0.0,0.0,0.0
2024-02,0.237,0.245,-0.209,0.535
2024-03,-0.091,0.39,1.278,0.977
2024-04,-0.759,0.83,2.456,1.331
2024-05,0.106,0.435,0.653,1.014
2024-06,0.166,0.465,2.109,1.029
2024-07,0.422,0.477,2.709,1.06
2024-08,0.894,0.497,2.365,1.056
2024-09,0.455,0.533,2.966,1.164
2024-10,0.746,0.855,1.738,1.998
2024-11,0.448,0.552,3.589,1.198
2024-12,0.591,0.66,2.642,1.321
2025-01,0.746,0.509,2.995,1.072
2025-02,0.909,0.541,4.125,1.194
2025-03,1.612,0.798,3.083,1.754
2025-04,0.682,0.834,3.279,1.57
2025-05,1.716,0.89,0.691,2.05
2025-06,1.031,0.621,2.887,1.372
2025-07,2.053,0.789,1.469,1.619
2025-08,1.739,0.709,1.754,1.493
2025-09,1.914,0.779,0.976,1.615
2025-10,1.546,0.703,3.417,1.459
2025-11,2.456,0.945,0.894,1.753
2025-12,2.285,1.118,2.077,2.021
2026-01,2.209,1.0,0.436,1.904
2026-02,2.394,0.926,0.633,1.864
2026-03,1.488,1.071,2.211,2.033
2026-04,2.22,1.008,0.45,1.945
2026-05,2.024,1.066,-0.431,2.004
2026-06,2.703,1.251,-1.443,2.64
2026-07,1.653,0.992,-0.181,1.906
