month,cr3_b,cr3_se,cr3_lo,cr3_hi,giant_b,giant_se,giant_lo,giant_hi,exp_b,exp_se,exp_lo,exp_hi
2024-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,0.264,0.247,-0.219,0.748,-0.244,0.538,-1.299,0.811,0.338,0.216,-0.086,0.761
2024-03,-0.055,0.391,-0.821,0.712,1.231,0.976,-0.681,3.144,0.452,0.371,-0.276,1.179
2024-04,-0.665,0.814,-2.26,0.93,2.338,1.328,-0.264,4.94,1.151,0.576,0.023,2.28
2024-05,0.124,0.438,-0.734,0.982,0.63,1.01,-1.349,2.608,0.23,0.394,-0.543,1.002
2024-06,0.209,0.476,-0.723,1.142,2.054,1.036,0.023,4.086,0.536,0.457,-0.36,1.432
2024-07,0.388,0.485,-0.563,1.338,2.752,1.062,0.67,4.834,-0.418,0.465,-1.328,0.493
2024-08,0.878,0.503,-0.107,1.863,2.386,1.06,0.308,4.463,-0.197,0.447,-1.075,0.68
2024-09,0.459,0.532,-0.584,1.502,2.962,1.165,0.679,5.245,0.044,0.512,-0.959,1.047
2024-10,0.653,0.792,-0.899,2.204,1.856,1.912,-1.893,5.604,-1.147,1.095,-3.294,1.0
2024-11,0.457,0.551,-0.622,1.536,3.578,1.19,1.246,5.911,0.105,0.532,-0.938,1.148
2024-12,0.642,0.642,-0.615,1.9,2.576,1.297,0.034,5.118,0.639,0.619,-0.575,1.853
2025-01,0.764,0.508,-0.232,1.76,2.973,1.061,0.894,5.052,0.217,0.508,-0.779,1.213
2025-02,0.948,0.545,-0.12,2.016,4.075,1.189,1.744,6.406,0.483,0.573,-0.64,1.605
2025-03,1.635,0.776,0.115,3.155,3.055,1.718,-0.313,6.423,0.278,0.884,-1.455,2.012
2025-04,0.747,0.825,-0.871,2.364,3.198,1.559,0.143,6.253,0.79,0.721,-0.623,2.203
2025-05,1.727,0.844,0.074,3.38,0.677,1.987,-3.217,4.572,0.131,1.082,-1.991,2.252
2025-06,1.043,0.614,-0.162,2.247,2.872,1.356,0.215,5.53,0.147,0.637,-1.102,1.395
2025-07,2.031,0.774,0.514,3.549,1.496,1.59,-1.62,4.613,-0.267,0.747,-1.731,1.197
2025-08,1.749,0.704,0.369,3.129,1.743,1.47,-1.138,4.624,0.115,0.737,-1.33,1.559
2025-09,1.957,0.78,0.428,3.486,0.921,1.596,-2.207,4.048,0.539,0.749,-0.929,2.007
2025-10,1.608,0.704,0.228,2.989,3.338,1.43,0.536,6.141,0.765,0.729,-0.664,2.194
2025-11,2.497,0.948,0.639,4.355,0.842,1.736,-2.562,4.245,0.505,0.759,-0.982,1.992
2025-12,2.366,1.114,0.182,4.549,1.975,2.008,-1.96,5.91,0.988,0.825,-0.629,2.606
2026-01,2.24,1.002,0.276,4.204,0.397,1.887,-3.301,4.096,0.38,0.768,-1.125,1.885
2026-02,2.456,0.924,0.644,4.267,0.555,1.84,-3.051,4.161,0.753,0.817,-0.849,2.355
2026-03,1.594,1.059,-0.482,3.67,2.077,2.002,-1.847,6.002,1.304,0.912,-0.484,3.093
2026-04,2.209,1.008,0.234,4.184,0.463,1.93,-3.319,4.246,-0.131,0.796,-1.692,1.43
2026-05,2.09,1.074,-0.015,4.194,-0.514,1.996,-4.427,3.399,0.808,0.762,-0.686,2.301
2026-06,2.613,1.197,0.267,4.96,-1.33,2.553,-6.333,3.673,-1.101,1.316,-3.681,1.478
2026-07,1.62,0.989,-0.318,3.559,-0.14,1.888,-3.841,3.561,-0.397,0.807,-1.979,1.185
