ctg,dep,rev,fx_v3,p_imp,direct
אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,4.100832683706161,60.644635149439495,95.40845164284875,36.26201969329214
אבקות תה,תה,0.2492360558461542,40.98906421219185,10.591762605071704,0.0
אורגנו,עלים ותבלינים טריים,0.5910029714517572,16.72346690313291,7.922270006665769,37.100715021453595
אורז,אורז קטניות פסטה תבשילים ותערובות,319.6222541550947,67.60237261502172,27.444862226469485,87.51052471671075
אטריות,אורז קטניות פסטה תבשילים ותערובות,35.14980405661191,65.58049150166042,11.276761687187422,78.3963807980931
אפטרסאן,מוצרי שיזוף והגנה מהשמש,1.8608416523816498,33.04730151123326,2.4324511610366897,65.77440686963679
אשל לבן שמנת,מוצרי חלב ותחליפיו,278.63877753091776,14.285895558664725,1.3079835954884576,98.69667196145346
בורקס,מוצרי בצק קפוא,130.10847685043868,42.70131380647219,7.554339953946989,89.1063994845563
בזיליקום,עלים ותבלינים טריים,21.14741611988153,19.711267852856494,14.279293303949991,67.37789332182906
בייגלה,חטיפים מלוחים,192.7143428557214,40.78303950876825,19.080995821451292,88.38014556316209
בירה לבנה באריזה,בירה לבנה,303.28826765775904,43.78392256980205,42.65563250535658,99.04133541568149
בירה לבנה בודד,בירה לבנה,218.19905782389316,43.04509599627681,40.21018304100982,82.3342833170885
בירה לבנה בחבית,בירה לבנה,0.3474641618661,50.23286521855074,60.088824915002014,60.088824915002014
בירה לבנה בקבוק חוזר,בירה לבנה,102.45270495913852,31.958847882246125,10.69958887093546,99.2227628959836
בירה ללא אלכוהול,בירה לבנה,6.6078940908728026,35.91435680526354,21.112365473850684,95.0348983680159
בעלי כנף טריים,קצביה הודו/בעלי כנף טרי,0.8595847400000001,51.04273453253093,32.295480473324766,100.0
בעלי כנף קפואים,בשר ועוף קפוא,2.302896652440433,71.61491689109627,9.694011936554713,58.84550224085455
בצל ירוק,עלים ותבלינים טריים,55.67016039616755,19.566152513248014,13.81632474926258,45.82382639639121
בצקים קפואים,מוצרי בצק קפוא,119.17180706716353,44.00986656222061,12.074422424600803,86.14912444109768
בשר בקר חלקי פנים,קצביה בשרית טרי,8.813433458097045,54.56978239496289,23.62535474752484,87.8585935312542
בשר בקר קפוא,בשר ועוף קפוא,307.2668888705967,75.58563134586603,46.28674726868899,89.84329927086226
בשר ועוף מעובד,בשר ועוף קפוא,81.65555467587183,74.73275832503874,34.99119587633214,88.32230992636191
בשר טחון טרי,קצביה בשרית טרי,385.36950999301325,57.89373071738316,35.114180564187926,93.70493789163703
בשר טחון מופשר,קצביה בשרית מופשר,47.17333755100474,77.94328452291188,24.97574731254499,99.92072108538098
בשר כבש טרי,קצביה בשרית טרי,58.42959629062607,57.4924504458012,31.107519391042068,78.1767271519442
גבינות במרקם שמנת,מוצרי חלב ותחליפיו,90.79217684463681,13.866384447107942,0.5084679815810907,100.0
גבינות לבנות,מוצרי חלב ותחליפיו,439.0955257369449,14.651308498683182,2.0107512651142105,99.33801658959767
גבינות מותכות מדף,מוצרי חלב ותחליפיו,51.03932545367586,39.475867389140724,48.29184265461417,97.66824656505764
גבינות מיוחדות במשקל,מעדניה חלבית,223.758221069789,26.923586280291183,25.31129533771906,84.18798451153326
גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,327.39977607396736,28.15014986306071,27.26083285239332,89.42645806728076
גבינות מלוחות במשקל,מעדניה חלבית,198.6930401227862,16.73978142465841,5.701722547613527,96.32903834805055
גבינות מלוחות מדף,מוצרי חלב ותחליפיו,378.65783323942645,15.110755907837245,2.7534929293215646,96.72598079687853
גבינות צהובות במשקל,מעדניה חלבית,436.0772604683916,14.840143607898678,2.241221383843466,94.13012273654824
גבינות צהובות מדף,מוצרי חלב ותחליפיו,757.847160585408,16.153819435768867,4.5835743975402545,93.57073756826767
גבינות רכות מעדניה,מעדניה חלבית,17.930680314956835,19.93826230296854,12.331249616670314,81.87880651702527
גבינות שמנת,מוצרי חלב ותחליפיו,191.77827310765392,27.3275318598732,24.761103728725946,98.20351146466525
גבינות שמנת במשקל,מעדניה חלבית,24.659554072630904,13.637795633363355,0.07353236062909517,93.13873026650604
גבינת לאבנה,מוצרי חלב ותחליפיו,80.79427491016463,13.80779282351592,0.39316022365798314,90.1357783772187
גלידות חבילות בית,גלידות ושלגונים,258.8694040938457,48.722750014966174,58.497120434736125,93.43932899514236
דאודורנט לגברים,היגיינה וטיפוח הגוף,148.80414388226683,50.39572765641344,88.87304879068516,92.64287446255098
דאודורנט נשים,היגיינה וטיפוח הגוף,147.96181313708018,47.65179335582612,70.22520041954529,97.0392660488145
דבש,רטבים וממרחים,120.52958526256417,39.42645609316354,3.1634385147811552,72.88034593773871
דג במגש/קרטונית,דגים קפואים,2.661922278853457,76.07562063285793,88.59271588264066,37.27130789715975
דג גלם בשקית,דגים קפואים,96.55605486532232,76.28524425058905,72.57950452064372,94.13507409697475
דג מעושן כבוש ארוז,מזון מקורר ארוז,132.01542963493446,51.04173062375258,56.59543861992532,89.87284686174769
דגי פילה טריים,קצביה דגים טריים,266.4490560144196,70.2012101108252,72.92626746419428,63.29694530998543
דגים טריים ארוזים,קצביה דגים טריים,15.523982626020413,64.80715199090649,45.831556044649496,49.501341713626736
דגים טריים סטנדרט,קצביה דגים טריים,57.4142554132046,69.67566045889446,62.737252067932594,93.71258297022689
דגים טריים פרימיום,קצביה דגים טריים,150.30844041888608,69.9682335305367,67.01802375220676,79.25799787294017
דגים קפואים בואקום,דגים קפואים,935.0190727662938,75.35090651049066,75.24481912789564,77.27723718263438
דגנים,דגנים ודגנים מיוחדים,593.5690950177398,53.91658072229426,29.13434265547049,95.83941116936592
דגנים מיוחדים,דגנים ודגנים מיוחדים,98.59857279211535,62.48497090396434,68.97510218331072,71.42162234529428
דייסות,מזון תינוקות/ילדים,22.897516563583405,35.501636500992994,1.6721216699766845,96.37562589969626
הגיינה נשית,היגיינה וטיפוח הגוף,367.7458852923121,47.31004057752928,73.42885726596593,94.29769443416299
הודו טרי ארוז,עוף/הודו טרי ארוז,58.24355270953252,44.90161411889739,9.57842153722571,75.85710680563572
הודו קפוא,בשר ועוף קפוא,21.506045222323827,74.52081612126635,31.80148388323926,98.16279166876156
היגיינת השיער,טיפוח השיער,1.73697728225449,34.05369611389742,15.532025790095084,22.460282534156775
היגיינת מבוגרים,היגיינה וטיפוח הגוף,86.63833021998542,40.159451017215474,30.959757737993616,68.07337219804677
וופלים,מאפים מתוקים ומלוחים,276.828424404695,53.804250814408064,50.73730854440066,86.68751140895179
חומץ/מיץ לימון,רטבים וממרחים,83.1616013096154,44.640472183132104,23.00567166286783,88.22855429891473
חומרים לכביסה,תכשירי כביסה,499.1822278642384,51.25007538858941,64.43607664517369,84.3150363210213
חומרים למדיח,שטיפת כלים,152.57982925742135,53.87136811657753,93.32925652352806,99.40465460658203
חזה בגריל צמחוני,מזון מוכן קפוא מן הצומח,6.369132694032535,36.909033736235585,8.080649267321055,100.0
חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,171.6294760931535,47.990492187713,44.97572798643612,84.35299134548063
חטיפי דגנים לילדים,חטיפי דגנים וחלבון,40.69579751745153,40.28125891043143,5.545860102093688,98.89056088926961
חטיפי חלבון,חטיפי דגנים וחלבון,87.15843452564332,34.88675049236636,45.20380692077126,49.60755000210739
חטיפים,חטיפים מלוחים,1468.4885517412015,37.51019303725188,8.730326854891766,95.68119643434392
חטיפים אפויים,מאפים מתוקים ומלוחים,88.52884274131407,46.02227827383818,12.043121109297099,83.74046045158488
חטיפים מן הצומח,מזון מוכן קפוא מן הצומח,36.206924911724656,49.71345311938535,1.1505046141541102,92.29656868842113
חטיפים מתוקים,בונבוניירות חטיפים מתוקים,540.0716593601385,52.381286556694754,46.85232513689706,97.30999675486707
חיתולים,אביזרים ומוצרי תינוקות,646.6955127029069,50.35586140903913,30.724038435401066,92.41998747374356
חלב,מוצרי חלב ותחליפיו,1461.93479242119,13.613853215035943,0.026749912802266573,97.12371300710234
חלבה,רטבים וממרחים,51.08587264612115,16.02804708406598,4.897220914697167,94.12634653087747
חליטות פירות וצמחים,תה,81.13051247496128,42.136730723121275,15.4754498856224,93.03768751391011
חלקי הודו טרי,קצביה הודו/בעלי כנף טרי,79.2728445040143,46.58772070663268,16.38471680940246,90.06619474469204
חלקי עוף טרי,קצביה עוף טרי,1018.0751525257436,45.65275309799507,13.045546778553826,92.07557103504624
חלקי עוף/הודו מתובל טרי ארוז,עוף/הודו טרי ארוז,3.02267254,46.65098137093761,16.610647753348605,51.433350765809394
חלקי פנים הודו טרי,קצביה הודו/בעלי כנף טרי,2.65666590546015,49.836782640518805,27.9885094304243,99.99999999999999
חלקי פנים עוף טרי,קצביה עוף טרי,24.367513723771534,46.45696104475834,15.917718016994048,92.75163890642628
חלקי פנים עוף/הודו טרי ארוז,עוף/הודו טרי ארוז,52.758967136448916,44.14764694220465,6.9553900199909915,91.20046302840376
חלקים ללא סיווג מופשר,קצביה בשרית מופשר,7.084400931583589,78.13160461585143,33.27159342326541,100.0
חמאה,מוצרי חלב ותחליפיו,324.06220337278296,37.25577456529989,44.66557810356244,96.96817376389059
חמאה מעדניה,מעדניה חלבית,2.73423879571854,40.33500062547359,50.45583984464602,100.0
חמוצים טריים,מזון מקורר ארוז,2.6017848141902835,29.5,0.0,25.039825460895095
חסה,עלים ותבלינים טריים,216.2337864567659,17.706098033995488,10.012974540415938,77.46169961624136
חרדל,רטבים וממרחים,31.772674318538527,53.45410098212841,58.98337081078371,93.35481562813054
חרוסת,רטבים וממרחים,1.8680080731741693,44.97069947013119,26.108737367024897,56.51951910436335
טבלאות שוקולד חלב בודד,שוקולד טבלאות,197.60422446176855,46.308427302508484,67.05547350941666,84.91909338471065
טבלאות שוקולד לבן בודד,שוקולד טבלאות,25.408446962654075,52.93778373779445,37.579342755932345,89.79975522206647
טבלאות שוקולד מריר בודד,שוקולד טבלאות,160.667073476306,56.159794353798304,56.13470751438989,82.62440874364258
טחינה גולמית,רטבים וממרחים,176.89783595263012,38.804935809694236,1.113588627222474,80.65634492211647
טרגון,עלים ותבלינים טריים,1.7083775928552696,27.813115947430607,31.517267973256605,97.79009979070837
יוגורט,מוצרי חלב ותחליפיו,1056.5090701062356,14.469292924725353,1.5724712375585668,98.50672853510758
יוגורט חלבון,מוצרי חלב ותחליפיו,261.6014612620936,15.022971665543908,2.768427364871414,100.0
יין אדום,יינות שולחניים,335.4072275168936,19.353669273197486,4.754873458464401,95.42354692766777
יין לבן,יינות שולחניים,136.73421422336438,25.761827425593445,17.626947355535233,97.50819569720625
יין רוזה,יינות שולחניים,24.471981473277395,27.960949678365473,22.00864655720963,95.05491293699639
יינות מתוקים,יינות שולחניים,40.623051341551616,20.337563884948633,6.779810537477161,93.23337760832798
יינות תירוש,יינות שולחניים,191.5061010911598,41.889793784955714,11.306268865898783,77.64735648487441
ירקות קפואים,ירקות ופירות קפואים,629.2656737343362,40.24350270857021,9.03562434593518,76.92037630504502
כבש קפוא,בשר ועוף קפוא,20.782385813932336,76.72644111759463,55.389688521367454,92.1758827570677
כוסברה,עלים ותבלינים טריים,109.60818894822901,19.46001200371566,13.744706390884382,70.91427735588303
כלים חד פעמים,אביזרים לארוח,695.7886307234244,70.40025578924795,88.64890357528442,70.50210361243869
כריכים,מזנונים,53.26159515927226,25.209647685711854,0.6654518539725803,96.49904878265687
לאבנה מעדניה,מעדניה חלבית,6.213540663481744,13.6,0.0,88.89647099189654
לחם ארוז מיוחד,לחם ותחליפיו,530.4776428747101,40.67849490234186,1.7406671876104147,91.61957427894548
לחם חשוף,לחם ותחליפיו,78.32571735404159,41.25588603819646,4.064186012915042,98.62575367448811
לחם מפוקח ארוז,לחם ותחליפיו,179.70476722143894,40.30961167344879,0.2003753729370962,84.36119125411426
לחמניות ארוזות,לחם ותחליפיו,237.56824168563142,40.86537007075146,2.6551342287982336,92.84882197556362
לקקנים,סוכריות,25.527573843544666,52.93259375978778,49.68476178407204,85.77817264429075
מברשות שיניים,היגיינת הפה,152.07431276327378,49.992726039589854,88.92526015311061,89.89159472421827
מגבונים לחים,אביזרים ומוצרי תינוקות,381.17137369277754,51.47219632735414,30.07706419049891,64.83864949444231
מגבות נייר,מוצרי נייר,325.0847912847896,45.026140466449164,2.459360166329964,71.07112117578555
מוצרי אפטר שייב,מוצרי גילוח,4.570511098089885,45.78584926339272,67.57411316402755,97.19142188062516
מוצרי אקונומיקה,ניקוי הבית,122.58230728256112,41.96281256430313,6.333972416498063,84.2549989691469
מוצרי בצק טרי,מזון מקורר ארוז,27.643673267337352,30.42741065048399,2.577152202976053,97.44150518812532
מוצרי בשר על האש,בשר ועוף קפוא,288.44982705474314,75.60291892078241,42.49161067932114,92.34097089878541
מוצרים לטיפול בשיער,טיפוח השיער,12.96080864435426,31.6229420713837,2.595591964098762,94.16071883931383
מוצרלה טרייה,מוצרי חלב ותחליפיו,36.64927169918332,17.51413444390155,4.375326991025404,86.7784556170622
מזון תינוקות/ילדים אחר,מזון תינוקות/ילדים,42.665207574547345,56.60859515362751,86.6802955880749,79.36059797328602
מחיות לתינוק,מזון תינוקות/ילדים,50.83471074237133,42.769838482657164,31.431665928009025,82.12937032778198
מיונז,רטבים וממרחים,210.7616533480505,48.660022302108985,39.954196384667426,93.09770045882037
מיכלי שמנת מתוקה,מוצרי חלב ותחליפיו,375.70202169594467,16.614730500862763,5.450475494055473,97.39699189283859
מים בבקבוק,משקאות לא אלכוהולים,588.3873999261081,14.210156268770772,5.8866402520501495,98.7580931631102
מים מוגזים,משקאות לא אלכוהולים,41.42295623172616,59.29130779930557,87.51208983053206,97.63652458491316
מים מועשרים,משקאות לא אלכוהולים,117.17113060275601,30.678416010784755,33.41965079094069,98.75026283798827
מיץ 100% ירק,משקאות לא אלכוהולים,5.023904311061342,41.263895292197105,9.201781817900503,73.70380910779843
מיץ 100% פרי,משקאות לא אלכוהולים,26.20893394420873,43.32891776310392,17.58442133635844,74.23853957866487
מיץ טבעי סחוט מקורר,משקאות לא אלכוהולים,199.53632799563366,38.54890961585032,0.16529190290935844,99.94112074204286
ממרחים מצוננים,סלטים ארוזים,81.16980761295417,33.046174743452916,9.474303509860272,85.51510327601628
ממרחים מתוקים,רטבים וממרחים,297.39693742783174,51.347662467199676,57.23697338496984,93.84989255912238
ממרחים שאינם מתוקים,רטבים וממרחים,26.62667899335485,40.93521774957757,8.153603937599165,80.15632944801578
מסטיקים ללא סוכר,מסטיקים,240.6108524522489,54.08781970958835,80.70774782922678,99.19089456890026
מסטיקים עם סוכר,מסטיקים,6.528773526882628,54.63085668699653,93.15112861650304,83.984784825626
מסירי אבנית וניקוי מכונות כביסה,תכשירי כביסה,5.476949706390503,54.66051070128656,69.10188843253535,29.082545428796553
מסירי כתמים,תכשירי כביסה,107.304901160025,50.168721873240756,58.5298795328068,99.094314434542
מעדני חלב לפעוטות,מוצרי חלב ותחליפיו,92.62259115853891,15.705156020768243,4.095634281650278,100.0
מעדנים,מוצרי חלב ותחליפיו,569.6691294994573,13.759873305850535,0.2915691616402985,99.37422145016487
מצות,לחם ותחליפיו,71.1766621014565,41.285969033582184,4.096965951560343,50.39591801567262
מרגרינה,מוצרי חלב ותחליפיו,60.68049419657294,49.24662763757428,75.76983272208105,98.14964901405862
מרכך כביסה,תכשירי כביסה,378.3605733169569,43.9505578733284,7.548808427541258,94.39213276544457
מרכך שיער,טיפוח השיער,128.593686478239,40.00410582000965,44.36914889192658,93.3127047927785
מרק קפוא,ירקות ופירות קפואים,5.647140104020824,41.47842114884516,12.911209614794357,100.0
משחות ניקוי כלים,שטיפת כלים,2.2415424757811016,43.91120252070851,30.25484736963023,100.0
משחות שיניים,היגיינת הפה,353.74838457834653,49.50949835010141,87.26489705517895,96.38996880285734
משקאות ברנדי/קוניאק,משקאות חריפים,19.693286170389644,51.56183326608077,40.96186751169526,80.13694364649976
משקאות וודקה,משקאות חריפים,151.6352714868679,70.22061320224682,91.33537414196113,97.59180811323293
משקאות וויסקי,משקאות חריפים,132.5541555744581,68.54386939832726,93.18524615543734,92.82812030212887
משקאות חלב,מוצרי חלב ותחליפיו,358.95061782502535,13.926094379727502,0.5896508875977112,99.83378725819935
משקאות חמוציות,משקאות לא אלכוהולים,14.527906047661663,49.61274581515945,40.727604459899304,99.12399498799478
משקאות טקילה,משקאות חריפים,2.0395094822785165,69.02100619553379,92.76062870324759,100.0
משקאות מוגזים טעמי פירות,משקאות לא אלכוהולים,136.46556058226292,24.41165365997519,2.0274202068850458,98.57488250187654
משקאות קלים,משקאות לא אלכוהולים,391.271555403191,22.986420429913785,0.5541163044279144,96.92987867157682
משקאות תחליפי חלב מצונן,מוצרי חלב ותחליפיו,284.3586281516137,15.168446696134696,3.051452716215361,100.0
משקאות תחליפי חלב עמיד,מוצרי חלב ותחליפיו,106.14060018104617,62.37534225384975,93.67571346080469,93.23733135990916
משקה מוגז עדין בטעמים,משקאות לא אלכוהולים,37.308658787264925,22.751279783249753,0.003029072780476492,100.0
משקה קולה דיאט,משקאות לא אלכוהולים,583.829849892203,23.574101748944138,0.1785584311906933,100.0
משקה קולה רגיל,משקאות לא אלכוהולים,532.1556942439398,23.59316636942027,0.224497275711491,100.0
נוזל כלים,שטיפת כלים,158.87490660125698,50.959477615976354,75.63344609799066,91.85900533953526
נייר טואלט,מוצרי נייר,660.4833802620184,45.91390761022571,6.8413752421655625,80.7108749251106
