sc,ctg,dep,rev,fx_v3,p_imp,direct
אבקה למדיח כלים,חומרים למדיח,שטיפת כלים,1.2247383319866725,55.0,100.0,100.0
אבקת כביסה 6-7 קג,חומרים לכביסה,תכשירי כביסה,38.059360460902795,46.107712550859006,25.349314459954698,98.8559908397639
אבקת כביסה מ- 7.1 קג ומעלה,חומרים לכביסה,תכשירי כביסה,65.85358929014441,54.196461442476014,88.07817336853476,96.9670834886494
אבקת כביסה מ-1.6-3קג,חומרים לכביסה,תכשירי כביסה,23.219191659082313,48.512252882822764,42.740906711413494,93.15347907901773
אבקת כביסה מ-3.1-4.99קג,חומרים לכביסה,תכשירי כביסה,7.153676291048247,51.78897914828325,73.24149290236046,100.0
אבקת כביסה מ-5 - 5.99,חומרים לכביסה,תכשירי כביסה,31.451786616756394,55.1760873239532,91.87698260854425,91.64983670323439
אבקת כביסה עד-1.5קג,חומרים לכביסה,תכשירי כביסה,22.992957390893714,49.19688689307553,47.221990112321365,98.72435332092006
אבקת קפה נמס,קפה נמס,קפה/קקאו,98.90316130138339,52.54062703555525,3.6553193402323974,96.45651407565822
אבקת שוקו,שוקו,קפה/קקאו,53.00234205535533,52.573022221209655,4.919245951729179,91.85380290578291
אבקת תה,אבקות תה,תה,0.24923605584615416,40.3874711051505,8.031791936810649,0.0
אגוזי מלך,פיצוחים,פיצוחים ופירות יבשים ארוזים,34.59763182006613,65.81763926994711,37.658116200344764,54.4428643478631
אגוזי פקאן,פיצוחים,פיצוחים ופירות יבשים ארוזים,23.243264058816628,65.8357281548739,39.13276802901356,62.41056846677398
אגוזים אחרים,פיצוחים,פיצוחים ופירות יבשים ארוזים,2.9954712416550264,64.82186435547388,22.669907638373154,40.41693628186293
אובלטים,חטיפים אפויים,מאפים מתוקים ומלוחים,7.733426295042519,61.756866742930924,75.02746697172371,68.23275196424925
אווזית טרי - 14,נתחים אחורי טרי,קצביה בשרית טרי,2.48822768511565,60.02128828587852,44.004816021975714,33.57037943562732
אוכמניות קפואות,פירות קפואים,ירקות ופירות קפואים,13.147411125062114,40.94836107882875,11.255862469108925,82.9840287994558
אורגנו טרי,אורגנו,עלים ותבלינים טריים,0.5910029714517572,16.76130734973174,8.002781595173918,37.10071502145359
אורז אחר,אורז,אורז קטניות פסטה תבשילים ותערובות,4.060613154863247,64.89830579021942,8.166416274722026,81.66362831498948
אורז בסמטי,אורז,אורז קטניות פסטה תבשילים ותערובות,142.13838438389837,70.76349413292974,48.360794917755,87.59966383437427
אורז יסמין,אורז,אורז קטניות פסטה תבשילים ותערובות,39.71459318032078,65.18970640047908,12.133781413087089,81.32440039034854
אורז מלא,אורז,אורז קטניות פסטה תבשילים ותערובות,7.387677066788934,64.5655999970318,6.980464973759254,93.71020163985092
אורז עגול,אורז,אורז קטניות פסטה תבשילים ותערובות,23.43102349356232,65.86716559170796,15.077325615355514,92.26448925751214
אורז פרסי,אורז,אורז קטניות פסטה תבשילים ותערובות,97.9962092351456,65.18824650398693,12.327309838342453,91.13501685085605
אורז תאילנדי,אורז,אורז קטניות פסטה תבשילים ותערובות,4.893753640515444,64.33530576425059,3.0482342204600505,89.9109373648814
אטריות בסיסיות,אטריות,אורז קטניות פסטה תבשילים ותערובות,35.149804056611906,65.57157540793904,11.195706289720315,75.1049508073823
אנטריקוט טרי - 1,נתחים קדמי טרי,קצביה בשרית טרי,221.73543251405783,59.5299787732292,40.398631342826306,83.20068165170743
אנטריקוט מופשר - 1,נתחים קדמי מופשר,קצביה בשרית מופשר,11.64378833498948,79.15956789992227,40.061998867393605,95.47700237372551
אננס מיובש ארוז,פירות יבשים,פיצוחים ופירות יבשים ארוזים,0.9284208331634917,67.39752384785633,59.80182744888124,70.56184182895389
