sample,weighted,spec,term,phase,b,se,pc,F,pj
"ללא בשר, עוף וחלב",False,בלי רכיב הענקיות,ריכוזיות,כל התקופה,-0.030953262464931228,0.43764156036526763,0.9436146901731443,1.6115322268252812,0.008054669997503247
"ללא בשר, עוף וחלב",False,בלי רכיב הענקיות,ריכוזיות,לפני 2025,-0.16234230971342728,0.5639234546366796,0.7734385620882102,1.9402496620385294,0.0018088403087358658
"ללא בשר, עוף וחלב",False,בלי רכיב הענקיות,ריכוזיות,מ־2025 ואילך,0.2318248320320609,0.4179960255874011,0.5791613554619736,0.8501143464093128,0.6397760124193836
"ללא בשר, עוף וחלב",False,בלי רכיב הענקיות,ייבוא,כל התקופה,0.08774125235677871,0.3899967210027233,0.8219952518952912,3.904441968249654,1.2408708642020781e-13
"ללא בשר, עוף וחלב",False,בלי רכיב הענקיות,ייבוא,לפני 2025,0.07121749778956687,0.5292481547196703,0.892956981344816,3.249196373207988,2.821444614410488e-08
"ללא בשר, עוף וחלב",False,בלי רכיב הענקיות,ייבוא,מ־2025 ואילך,0.1207887614912024,0.3448399375362216,0.7261324290388104,1.6097938498615636,0.057808928750866614
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ריכוזיות,כל התקופה,0.3319897646178775,0.4316287978550769,0.4418008654716774,1.1924388112629556,0.1867308243902199
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ריכוזיות,לפני 2025,0.40346931497316185,0.5758345629822964,0.4835097284099519,1.4233096783931294,0.06385188456199514
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ריכוזיות,מ־2025 ואילך,0.18903066390730866,0.45496496670249786,0.6777876261062322,0.8760898427431653,0.6081867182687462
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ייבוא,כל התקופה,0.018218567678034606,0.39600557181561497,0.9633055978056245,3.994328952137099,4.552226654221738e-14
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ייבוא,לפני 2025,-0.037165196560083005,0.5319320400459144,0.944298470608282,3.228626065487221,3.384516328721488e-08
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ייבוא,מ־2025 ואילך,0.1289860961542698,0.3510177495562289,0.7132735567436325,1.7215545629348599,0.036090752775417796
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ענקיות,כל התקופה,-2.1245810698521077,0.9605011192816595,0.02697007537011238,2.9739842762626947,4.5459604344369455e-09
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ענקיות,לפני 2025,-3.312124981634354,1.2662707827240447,0.00890570097989402,3.215205575635742,3.8109763042050013e-08
"ללא בשר, עוף וחלב",False,עם ענקית ≥20%,ענקיות,מ־2025 ואילך,0.2505067537123834,0.9025323227054327,0.7813502415431031,1.7392950060626886,0.03342726790388513
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ריכוזיות,כל התקופה,0.1662937396554491,0.43059138586979556,0.6993496777740016,1.3192205703601056,0.0824565448790048
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ריכוזיות,לפני 2025,0.1136015855546743,0.5555240055898801,0.8379671151610729,1.6421565634706254,0.01573762628580146
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ריכוזיות,מ־2025 ואילך,0.27167804785699873,0.4466558452662267,0.5430222266915199,0.7474796705161953,0.7598562310084115
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ייבוא,כל התקופה,0.06503627934442972,0.3803293011167929,0.8642238299884377,3.8773135568689194,1.680543742284055e-13
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ייבוא,לפני 2025,0.03945377703533948,0.5127763412992221,0.9386700890937993,3.195029326842379,4.555038665515678e-08
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ייבוא,מ־2025 ואילך,0.11620128396261017,0.34772557888660544,0.7382473154343943,1.7025154554739401,0.03916411851505013
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ענקיות,כל התקופה,-2.0260276185483543,0.9115982559621332,0.026249497401284797,2.4504490596938946,1.5979034435544835e-06
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ענקיות,לפני 2025,-2.8343647658674884,1.1680025753420704,0.015237823266448102,2.4238751773178144,3.65704161907838e-05
"ללא בשר, עוף וחלב",False,עם ענקית ≥5% (להשוואה),ענקיות,מ־2025 ואילך,-0.40935332391008483,0.8913286652552196,0.6460460820318531,1.3741992459833225,0.1443398633467942
"ללא בשר, עוף וחלב",True,בלי רכיב הענקיות,ריכוזיות,כל התקופה,0.125609550933835,0.5477648578514588,0.8186257237858872,5.050839567458671,4.716925367806933e-19
"ללא בשר, עוף וחלב",True,בלי רכיב הענקיות,ריכוזיות,לפני 2025,-0.07243903531851192,0.673423871783976,0.9143381743122665,3.193934311118682,4.599332147710535e-08
"ללא בשר, עוף וחלב",True,בלי רכיב הענקיות,ריכוזיות,מ־2025 ואילך,0.5217067234385289,0.6210738220988473,0.4009041318857205,2.335004842673236,0.0020298363531355786
"ללא בשר, עוף וחלב",True,בלי רכיב הענקיות,ייבוא,כל התקופה,1.2961114343878564,0.39998896698755193,0.0011937554335645427,7.260287056119129,1.5722421862565008e-28
"ללא בשר, עוף וחלב",True,בלי רכיב הענקיות,ייבוא,לפני 2025,1.9201836187544365,0.5744947752974827,0.0008306129695962617,3.2085610386262795,4.041552455441425e-08
"ללא בשר, עוף וחלב",True,בלי רכיב הענקיות,ייבוא,מ־2025 ואילך,0.047967065654696016,0.39913556274369133,0.9043426371121113,4.74743368960728,4.462002533109691e-09
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ריכוזיות,כל התקופה,0.337364883011428,0.5625939825623525,0.5487331174221057,3.6844685618506414,1.463141400386402e-12
