cat,rev,gshare,grev,cr3,top1,giant_any,giant_5pct,giant_lead,conc
מגבונים לחים,398.31543233094834,0.005195918013766844,3.729318722296875,76.52,ספק מותג פרטי,True,False,False,False
פתיתים,80.36122270534132,0.7546485551435012,63.431114437250145,93.06,קבוצת אסם סחר,True,True,True,True
קוסקוס,65.7539526584676,0.2775132561007792,23.69484719771678,75.52,הנמל,True,True,False,False
בירה לבנה בודד,246.30590187047562,0.16383174897613753,49.10385277110285,66.77,טמפו,True,True,False,False
בירה לבנה בקבוק חוזר,82.26187372059152,0.344642335608251,29.915238460340365,100.0,טמפו,True,True,False,True
בירה ללא אלכוהול,5.9919773150597795,0.24370530546772862,1.4232139171304872,88.27,טמפו,True,True,False,True
הודו קפוא,22.39851219329374,0.19809374043767733,4.647653803537205,58.05,תנובה תשלובת המותגים,True,True,True,False
מברשות שיניים,168.17251061372653,0.07652557547339255,44.35307370388329,63.17,שסטוביץ,True,True,False,False
חטיפי דגנים לילדים,55.829782729449725,0.045949280664489174,2.35372741756754,98.43,יוניליוור ישראל,True,False,False,True
חטיפי חלבון,122.89091917121908,0.3906025063200336,51.76866937555472,51.04,דיפלומט,True,True,True,False
מרכך שיער,130.35358012766025,0.1240092039886078,28.530573100607988,77.38,סנו,True,True,False,False
שמפו לגבר,2.542054856624667,0.5971084465952282,1.6089665018109711,95.36,דיפלומט,True,True,True,True
יין אדום,350.36695513210725,0.015415017696633814,6.2459240976977615,67.65,יקבי כרמל,True,False,False,False
יין לבן,152.02257149923517,0.03704172365305097,6.650699880437378,69.87,יקבי כרמל,True,False,False,False
תבלינים ורטבים קפואים,43.91674109332961,0.6661749289833567,30.66702507594219,94.45,דיפלומט,True,True,True,True
לחם ארוז מיוחד,546.5812734360937,0.001970256401338118,1.28333264473032,66.21,מאפיית אנג'ל,True,False,False,False
וופלים,301.95096178216846,0.2556418473507368,65.2863884452916,55.22,"שטראוס גרופ בע""מ",True,True,True,False
עוגיות בייסיק,409.1297690930061,0.17644491806309043,73.81595608448698,33.0,קבוצת אסם סחר,True,True,True,False
מוצרי אפטר שייב,5.163648695041307,0.030009534044466952,0.5024108631753644,83.24,הנקל סוד,True,False,False,True
סכיני/מכשיר גילוח נשים,43.24126357950344,0.7054802552263751,31.201967431383597,91.43,דיפלומט,True,True,True,True
גבינות מותכות מדף,53.055478055331605,0.4912753383468757,24.672402840133657,74.9,תנובה חלב,True,True,True,False
גבינות מלוחות מדף,430.66277229157265,0.41612246041714845,188.0502417277565,85.64,מחלבות גד,True,True,False,True
גבינות שמנת,259.56671159483517,0.6577932664639506,161.33466806960985,81.43,תנובה חלב,True,True,True,False
גבינת לאבנה,85.46144944448685,0.5900837588392586,45.76388905542339,83.15,תנובה חלב,True,True,True,True
חלב,1696.5012863824418,0.9303431446150282,1582.8414938232718,93.03,תנובה חלב,True,True,True,True
מרגרינה,63.44282541653792,0.9750780292331037,61.838348631154545,99.47,דיפלומט,True,True,True,True
חזה בגריל צמחוני,6.107751986091971,1.0,6.107751986091971,100.0,קבוצת אסם סחר,True,True,True,True
מוצרי בצק טרי,47.48798418314262,0.9241701863343125,42.12070053932487,100.0,"שטראוס גרופ בע""מ",True,True,True,True
פסטרמות ונקניקים ארוזים,510.0324962132697,0.42986762222858116,204.57539516296595,83.7,תנובה תשלובת המותגים,True,True,True,True
דייסות,19.09508841132093,0.7867207786322933,16.170898400521516,100.0,קבוצת אסם סחר,True,True,True,True
כריכים,55.741129719119,0.04078665336702239,3.02470031734473,93.35,לורד סנדביץ בעמ,True,False,False,True
גבינות מיוחדות במשקל,256.24406833951804,0.12241024900642923,32.61272130628018,54.2,מחלבות גד,True,True,False,False
משקאות וויסקי,165.28340657344134,0.3050710341090941,51.6849180552783,73.58,החברה המרכזית למשקאות קלים,True,True,True,False
מים בבקבוק,624.4037952803792,0.22828971653346739,188.5633596454917,97.4,טמפו,True,True,False,True
מיץ טבעי סחוט מקורר,208.1064504707236,0.6990320664727594,152.2744200984628,99.56,קבוצת אסם סחר,True,True,True,True
משקאות חמוציות,15.364042181003015,0.6109872522946576,10.15086011482395,99.43,החברה המרכזית למשקאות קלים,True,True,True,True
משקה קולה דיאט,591.3096417142137,0.8638128461081843,535.0294479059862,99.91,החברה המרכזית למשקאות קלים,True,True,True,True
סודה,219.7590785064374,0.14528818514621394,31.269583650695388,99.12,יפאורה תבורי,True,True,False,True
תה קר,157.00451380549308,0.8626289151498032,138.1083045510623,99.85,החברה המרכזית למשקאות קלים,True,True,True,True
סלט חצילים,88.41577626511103,0.6510919782285566,52.77835811005022,83.32,"שטראוס גרופ בע""מ",True,True,True,True
סלטי ירקות,112.49981234700073,0.6060139744637,63.13160203005125,73.56,"שטראוס גרופ בע""מ",True,True,True,False
סלטים מזרחיים,44.41037090319696,0.792781069404605,32.741945884822556,92.18,"שטראוס גרופ בע""מ",True,True,True,True
בצל ירוק,65.24886033756202,0.0074745600681225335,0.5162099667519356,56.57,אדמה בורהני,True,False,False,False
חסה,324.60081754407383,0.00032712064935858727,0.10524710173810312,43.99,ספק כללי,True,False,False,False
בשר כבש טרי,55.52649426794398,0.14814994007041846,7.996714038317501,75.83,"בית מטבחיים דבאח בע""מ",True,True,False,False
חומץ/מיץ לימון,98.12161169917954,0.550295074598745,55.45787508179863,73.57,קבוצת אסם סחר,True,True,True,False
מיונז,259.31025715799257,0.08818349617807954,36.298537878917045,82.01,יוניליוור ישראל,True,True,False,False
שימורי טונה,695.1915509309346,0.3273343630406663,237.47838782088303,59.82,דיפלומט,True,True,True,False
שימורי עגבניות,421.4032754331792,0.01441236446045507,5.362961808254699,69.03,זנלכל,True,False,False,False
אורז,356.1043298853237,0.0,0.0,78.88,סוגת,False,False,False,False
תערובות לסלט,1.5272905046100984,0.0,0.0,100.0,שסטוביץ,False,False,False,True
בעלי כנף קפואים,6.369132760061982,0.0,0.0,90.4,י.מ.מ.ק,False,False,False,True
דג במגש/קרטונית,7.009702865852044,0.0,0.0,76.17,"נטו סחר בע""מ",False,False,False,False
פירות ים קפואים,46.21860941471317,0.0,0.0,73.68,ספק מותג פרטי,False,False,False,False
שמפו/מרכך לילדים,35.21454733009199,0.0,0.0,79.91,דר פישר,False,False,False,False
קרם פנים,24.21579699467205,0.0,0.0,76.18,לוריאל ישראל,False,False,False,False
יינות תירוש,198.67011976230594,0.0,0.0,71.4,יקבי כרמל,False,False,False,False
לחם מפוקח ארוז,185.43280636106263,0.0,0.0,79.68,מאפיית אנג'ל,False,False,False,False
נייר טואלט,729.8081751074086,0.0,0.0,69.43,ארבקס,False,False,False,False
משקה מוגז עדין בטעמים,37.84515581858157,0.0,0.0,100.0,יפאורה תבורי,False,False,False,True
תכשירים לניקוי חלונות,31.96832749703985,0.0,0.0,76.8,סנו,False,False,False,False
סבון נוזלי לידיים/משאבה,90.05140338048072,0.0,0.0,69.02,סנו,False,False,False,False
סוכריות אחרות,14.348270864211447,0.0,0.0,80.92,"טעמן - שיווק מזון בע""מ",False,False,False,False
חלקי עוף/הודו מתובל טרי ארוז,3.12288315196416,0.0,0.0,100.0,ספק מותג פרטי,False,False,False,True
חלקי פנים עוף/הודו טרי ארוז,61.07247154089952,0.0,0.0,49.9,"נטו סחר בע""מ",False,False,False,False
