cat,gmax,gsum,top_giant
פסטרמות ונקניקים ארוזים,0.4129173709470738,0.4129173709470738,תנובה
דייסות,0.7726386774931928,0.7726386774931928,אסם
מיץ טבעי סחוט מקורר,0.5423446364259411,0.7618832632426322,אסם
סוכריות מרשמלו,0.06917032132281321,0.06917032132281321,שטראוס
נתחים אחורי טרי,0.06836437336118899,0.0789468589985998,תנובה
דבש,0.5334020154829398,0.5334020154829398,שטראוס
שימורי ירקות,0.0033084559867166876,0.0033084559867166876,שטראוס
מרכך שיער,0.1421011073721631,0.1421011073721631,דיפלומט
שמפו לגבר,0.2088683783561298,0.2088683783561298,דיפלומט
עוגיות פרימיום,0.3745374002316972,0.631669797791173,דיפלומט
בורקס,0.551645643325048,0.5517264035368726,תנובה
גבינות במרקם שמנת,0.7947422244293413,0.9125268147004016,שטראוס
גבינות לבנות,0.5208222645354047,0.9834194310015149,תנובה
גבינת לאבנה,0.4141061902183968,0.5885671481289537,תנובה
חמאה,0.5423587751837178,0.761535235025592,תנובה
מרגרינה,0.7906248832478332,0.988265320732795,דיפלומט
משקאות תחליפי חלב עמיד,0.5067573944885471,0.5110749943237975,שטראוס
תחליפי חלב וטופו,0.6914633405402558,0.7912924225570451,תנובה
סוכריות מרעננות,0.24458068511469336,0.24458068511469336,שטראוס
סלט חומוס מועשר / תוספות,0.5628236572589081,0.8950952069706053,שטראוס
סלט טחינה,0.4339944800636668,0.740842414394737,שטראוס
קפה טורקי,0.8154656077810805,0.8199640015865678,שטראוס
חרדל,0.31429421497975996,0.31892724509618864,דיפלומט
שוקולד טבלאות מאגדת,0.2639277090628265,0.2751548385836113,שטראוס
חטיפים מתוקים,0.2611983182735523,0.2869135212410547,שטראוס
דגנים מיוחדים,0.25911703264110975,0.2901718728946467,שטראוס
בייגלה,0.3610824196204611,0.3932338980082122,אסם
יין רוזה,0.015072965623058992,0.015072965623058992,החברה המרכזית
מוצרי אפטר שייב,0.036411551856993594,0.036411551856993594,דיפלומט
ערק + אניס,0.0016255228245039219,0.0016255228245039219,החברה המרכזית
סוכריות גלי,0.024010671263881508,0.024010671263881508,שטראוס
כלים חד פעמים,9.758569698210868e-07,9.758569698210868e-07,שטראוס
מחיות לתינוק,0.19607374106418643,0.19607374106418643,אסם
משקה קולה רגיל,0.857027533584963,0.857027533584963,החברה המרכזית
סודה,0.15407102212764615,0.15451755066583936,החברה המרכזית
מרכך כביסה,0.035815565664839906,0.035815565664839906,דיפלומט
פתיתים,0.7204544717218816,0.7204544717218816,אסם
בשר ועוף מעובד,0.03320958662525647,0.03320958662525647,דיפלומט
מוצרי בשר על האש,0.04873469789698493,0.06746782079630316,דיפלומט
דגים קפואים בואקום,0.12011085205764228,0.12301717151267044,תנובה
הגיינה נשית,0.5260832235024643,0.5260832235024643,דיפלומט
ניקוי הפנים רגיל,0.513580313767339,0.513580313767339,דיפלומט
סכיני/מכשיר גילוח גברים,0.9032412801276372,0.9032412801276372,דיפלומט
נקטר,0.002172709858044713,0.002172709858044713,החברה המרכזית
כבש קפוא,0.019868971832514078,0.019868971832514078,תנובה
שניצל  מן הצומח,0.4677191343782145,0.4677191343782145,אסם
סוכריות קשות,0.24399663381270809,0.24399663381270809,שטראוס
חומרים למדיח,0.2733198438394768,0.2733198438394768,דיפלומט
סוכריות אחרות,0.0,0.0,
בצל ירוק,0.0,0.0,
דג במגש/קרטונית,0.0,0.0,
קרם פנים,0.0,0.0,
תכשירי הגנה מהשמש למבוגרים,0.0,0.0,
תכשירי ניקוי רצפות,0.0,0.0,
שימורי מלפפונים,0.0,0.0,
מסירי כתמים,0.0,0.0,
רוקט,0.0,0.0,
חלבה,0.0,0.0,
פופ קורן למיקרו,0.0,0.0,
