sample,measure,weighted,giants,phase,b,se,pc,F,pj
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),False,False,כל התקופה,0.16003721064847962,0.6047758585380082,0.7913003987103138,4.4098597352301026,1.3977136815068807e-16
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),False,False,פיחות 2/22-10/23,-0.3035698132506524,0.4187422968987069,0.46847891762266625,2.1195793599690247,0.003454945379009344
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),False,False,ייסוף 11/23-7/26,0.45505986222065464,0.7797383028762649,0.5594854999750936,2.8546734489145105,1.5235133245718207e-06
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),False,True,כל התקופה,0.15788063001678643,0.6049748069802556,0.7941151902562636,4.385046838616134,1.8571071590063925e-16
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),False,True,פיחות 2/22-10/23,-0.2991194566270685,0.4198615577728946,0.47620224902729247,2.1355284706226563,0.0031658182755767037
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),False,True,ייסוף 11/23-7/26,0.4486988669719669,0.7785681010716687,0.5644036817735978,2.8851474575941705,1.178013243412247e-06
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),True,False,כל התקופה,-1.129859476001046,1.0640542806419806,0.2883065869191064,8.159495111180622,1.967702026220203e-33
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),True,False,פיחות 2/22-10/23,-0.5279096945116535,0.574720141672332,0.35833053200057063,3.2776377386317868,3.63649831568282e-06
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),True,False,ייסוף 11/23-7/26,-1.5129184278579322,1.4089084971202004,0.28290199435131924,5.15776145894349,4.049850790777473e-15
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),True,True,כל התקופה,-1.1412822089255283,1.0350477350807108,0.270184718315305,8.009962786942163,7.893027803606902e-33
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),True,True,פיחות 2/22-10/23,-0.5947105171789818,0.5693119096948064,0.296201953881008,3.2725343851682047,3.75341250649868e-06
פאנל מלא,מדד פשוט (נמוך/בינוני/גבוה),True,True,ייסוף 11/23-7/26,-1.4891005582187853,1.3592138218310859,0.27327128975850046,5.120750421128724,5.532296337012176e-15
פאנל מלא,מדד מורכב (יצרן×קטגוריה),False,False,כל התקופה,0.268683503459126,0.6138402146938534,0.6615971064029385,4.081692092098314,6.136285665683727e-15
פאנל מלא,מדד מורכב (יצרן×קטגוריה),False,False,פיחות 2/22-10/23,-0.2179353837913724,0.4208350118436677,0.6045530264173842,2.2563143442391858,0.0016183215015138019
פאנל מלא,מדד מורכב (יצרן×קטגוריה),False,False,ייסוף 11/23-7/26,0.5783500680730796,0.7913561740930797,0.464880499306942,2.7835011069779414,2.772088909888721e-06
פאנל מלא,מדד מורכב (יצרן×קטגוריה),False,True,כל התקופה,0.26328888062139116,0.6122891192661392,0.667190224500823,4.115055473091714,4.168341311358063e-15
פאנל מלא,מדד מורכב (יצרן×קטגוריה),False,True,פיחות 2/22-10/23,-0.20645267850117802,0.4208635045255568,0.623747974353903,2.297779190397461,0.0012808913447521903
פאנל מלא,מדד מורכב (יצרן×קטגוריה),False,True,ייסוף 11/23-7/26,0.5622153273357534,0.7879417026735216,0.47552155806431184,2.8402709979291836,1.7201132511583407e-06
פאנל מלא,מדד מורכב (יצרן×קטגוריה),True,False,כל התקופה,-1.0459496640705765,1.0351133397507615,0.31227077258849534,8.877463134177086,2.950814576745022e-36
פאנל מלא,מדד מורכב (יצרן×קטגוריה),True,False,פיחות 2/22-10/23,-0.46299243299216064,0.5619873189271518,0.41002562231038486,3.9279532194516094,6.184565997243054e-08
פאנל מלא,מדד מורכב (יצרן×קטגוריה),True,False,ייסוף 11/23-7/26,-1.4169224474841142,1.3679918354785259,0.30031029426786504,4.925345731429264,2.888725464561701e-14
פאנל מלא,מדד מורכב (יצרן×קטגוריה),True,True,כל התקופה,-1.0576602186746706,1.006231884841778,0.2932081529341134,8.709341076791198,1.3202753294225226e-35
פאנל מלא,מדד מורכב (יצרן×קטגוריה),True,True,פיחות 2/22-10/23,-0.532024625144941,0.560749158292602,0.342735202371245,3.8831134443696933,8.205393707730363e-08
פאנל מלא,מדד מורכב (יצרן×קטגוריה),True,True,ייסוף 11/23-7/26,-1.392155596375408,1.3174269137851464,0.2906379293659388,4.805697704085593,7.9848407930234e-14
ללא בשר ועוף,מדד פשוט (נמוך/בינוני/גבוה),False,False,כל התקופה,0.5958704215545335,0.5937094677794961,0.3155522877530569,4.8246793650226145,4.927390113488735e-18
ללא בשר ועוף,מדד פשוט (נמוך/בינוני/גבוה),False,False,פיחות 2/22-10/23,0.08619140651776316,0.40470826336700017,0.8313490370758101,2.9141330443754057,3.810163410141725e-05
ללא בשר ועוף,מדד פשוט (נמוך/בינוני/גבוה),False,False,ייסוף 11/23-7/26,0.9202116129415692,0.7733268986455452,0.23407048202167702,3.5317228892156227,6.723994029402846e-09
