mfr,ctg,dep,rev,mat,imp_mat,m_retail,land,role,core_dom,imp_kind,core_imp,core,identified,fx
אוהל שרה בעמ,אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,1.294650954546789,0.45,0.85,0.3,0.6,UNK,0.4525,,0.6,0.706620166222859,0.28164823087761254,70.66201662228589
אלטמן רוקחות ושיווק,אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,4.523800423965564,0.45,0.85,0.3,0.6,UNK,0.4525,,0.6,0.706620166222859,0.28164823087761254,70.66201662228589
ספק כללי,אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,0.20489025000000002,0.45,0.85,0.3,0.6,BUCKET,0.4525,,0.6,0.706620166222859,0.28164823087761254,70.66201662228589
יצרן פרטי,חיתולים,אביזרים ומוצרי תינוקות,224.64778910667076,0.45,0.9,0.3,0.6,BUCKET,0.47500000000000003,,0.6,0.5,0.8483279092959605,50.0
בלמון/אינטרקוסמה,מגבונים לחים,אביזרים ומוצרי תינוקות,0.9105995939708142,0.45,0.9,0.3,0.6,UNK,0.47500000000000003,,0.6,0.5245835445253948,0.5186300926254285,52.45835445253948
יצרן לא ידוע,מגבונים לחים,אביזרים ומוצרי תינוקות,66.19884113154838,0.45,0.9,0.3,0.6,BUCKET,0.47500000000000003,,0.6,0.5245835445253948,0.5186300926254285,52.45835445253948
"ב.ה. דבליו יבוא ושיווק בע""מ",מגבונים לחים,אביזרים ומוצרי תינוקות,2.302912105287187,0.45,0.9,0.3,0.6,IMP,0.47500000000000003,TRADER,0.72,0.72,0.5186300926254285,72.0
גורי,מגבונים לחים,אביזרים ומוצרי תינוקות,0.16647811118666161,0.45,0.9,0.3,0.6,DOM,0.47500000000000003,,0.6,0.47500000000000003,0.5186300926254285,47.5
"מ.מסטיקס בע""מ",מגבונים לחים,אביזרים ומוצרי תינוקות,5.554603281473611,0.45,0.9,0.3,0.6,UNK,0.47500000000000003,,0.6,0.5245835445253948,0.5186300926254285,52.45835445253948
דיפלומט,מגבונים לחים,אביזרים ומוצרי תינוקות,28.949958420461634,0.45,0.9,0.3,0.6,IMP,0.47500000000000003,BRAND,0.5,0.5,0.5186300926254285,50.0
"ד""ר פישר",מגבונים לחים,אביזרים ומוצרי תינוקות,46.36705508824627,0.45,0.9,0.3,0.6,DOM,0.47500000000000003,,0.6,0.47500000000000003,0.5186300926254285,47.5
א.פ.י חורי הפצה בעמ,מגבונים לחים,אביזרים ומוצרי תינוקות,0.8631061546135403,0.45,0.9,0.3,0.6,UNK,0.47500000000000003,,0.6,0.5245835445253948,0.5186300926254285,52.45835445253948
"טרופיקל - דגיל תעשיות קוסמטיקה בע""מ",מגבונים לחים,אביזרים ומוצרי תינוקות,1.3223536331881278,0.45,0.9,0.3,0.6,UNK,0.47500000000000003,,0.6,0.5245835445253948,0.5186300926254285,52.45835445253948
"נטו סחר בע""מ",מגבונים לחים,אביזרים ומוצרי תינוקות,6.335313949784954,0.45,0.9,0.3,0.6,IMP,0.47500000000000003,TRADER,0.72,0.72,0.5186300926254285,72.0
הנמל,מגבונים לחים,אביזרים ומוצרי תינוקות,0.36241170311222937,0.45,0.9,0.3,0.6,UNK,0.47500000000000003,,0.6,0.5245835445253948,0.5186300926254285,52.45835445253948
