יצרן,קטגוריה,מחלקה,מכר 2024 (מ׳ ₪),סיווג_טיוטה,ביטחון,החלטה_שלך
אסם-נסטלה,חטיפים,חטיפים מלוחים,633.43,לא הוכרע,REVIEW,
"שטראוס גרופ בע""מ",חטיפים,חטיפים מלוחים,546.09,לא הוכרע,REVIEW,
החברה המרכזית למשקאות קלים,משקה קולה דיאט,משקאות לא אלכוהולים,535.86,לא הוכרע,REVIEW,
החברה המרכזית למשקאות קלים,משקה קולה רגיל,משקאות לא אלכוהולים,471.07,לא הוכרע,REVIEW,
חוגלה קימברלי,חיתולים,אביזרים ומוצרי תינוקות,435.7,יבוא,REVIEW,
ארבקס,נייר טואלט,מוצרי נייר,366.95,לא הוכרע,REVIEW,
יוניליוור ישראל,דגנים,דגנים ודגנים מיוחדים,329.79,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",חטיפים מתוקים,בונבוניירות חטיפים מתוקים,316.21,לא הוכרע,REVIEW,
"נטו סחר בע""מ",עוף טרי ארוז,עוף/הודו טרי ארוז,283.54,ייצור מקומי,REVIEW,
סוגת,אורז,אורז קטניות פסטה תבשילים ותערובות,202.11,יבוא,REVIEW,
החברה המרכזית למשקאות קלים,מים בבקבוק,משקאות לא אלכוהולים,188.58,לא הוכרע,REVIEW,
אסם-נסטלה,קרקרים,מאפים מתוקים ומלוחים,180.6,לא הוכרע,REVIEW,
תנובה תשלובת המותגים,דגים קפואים בואקום,דגים קפואים,176.61,יבוא,REVIEW,
דיפלומט,תחליפי חלב אם חלבי,מזון תינוקות/ילדים,175.86,ייצור מקומי,REVIEW,
יוניליוור ישראל,מיונז,רטבים וממרחים,166.77,לא הוכרע,REVIEW,
יוניליוור ישראל,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,164.61,לא הוכרע,REVIEW,
"מוצרי איכות אמריקאיים בע""מ",גלידות חבילות בית,גלידות ושלגונים,157.46,לא הוכרע,REVIEW,
אבוט,תחליפי חלב אם חלבי,מזון תינוקות/ילדים,155.77,ייצור מקומי,REVIEW,
חוגלה קימברלי,מגבונים לחים,אביזרים ומוצרי תינוקות,151.16,יבוא,REVIEW,
החברה המרכזית למשקאות קלים,משקאות קלים,משקאות לא אלכוהולים,141.89,לא הוכרע,REVIEW,
אסם-נסטלה,פסטה,אורז קטניות פסטה תבשילים ותערובות,133.37,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",חטיפים,חטיפים מלוחים,117.68,לא הוכרע,REVIEW,
אסם-נסטלה,דגנים,דגנים ודגנים מיוחדים,117.35,לא הוכרע,REVIEW,
"שטראוס גרופ בע""מ",עוגיות פרימיום,מאפים מתוקים ומלוחים,111.15,לא הוכרע,REVIEW,
גורי בעמ,משחות שיניים,היגיינת הפה,109.89,לא הוכרע,REVIEW,
אסם-נסטלה,שימורי מלפפונים,שימורים,105.85,לא הוכרע,REVIEW,
קבוצת אסם סחר,חטיפים,חטיפים מלוחים,103.05,לא הוכרע,REVIEW,
תעשיות פיל-טונה בעמ,שימורי טונה,שימורים,99.58,יבוא,REVIEW,
החברה המרכזית למשקאות קלים,בירה לבנה באריזה,בירה לבנה,97.33,לא הוכרע,REVIEW,
אסם-נסטלה,פתי בר,מאפים מתוקים ומלוחים,97.1,לא הוכרע,REVIEW,
ארבקס,מגבות נייר,מוצרי נייר,94.25,לא הוכרע,REVIEW,
אסם-נסטלה,קטשופ,רטבים וממרחים,93.9,לא הוכרע,REVIEW,
יוניליוור ישראל,סבון לגוף,סבוני רחצה,88.91,לא הוכרע,REVIEW,
אסם-נסטלה,בייגלה,חטיפים מלוחים,85.22,לא הוכרע,REVIEW,
אסם-נסטלה,עוגות מדף ארוזות,מאפים מתוקים ומלוחים,85.11,לא הוכרע,REVIEW,
יוניליוור ישראל,שמפו,טיפוח השיער,82.33,לא הוכרע,REVIEW,
"נטו סחר בע""מ",נתחים קדמי טרי,קצביה בשרית טרי,79.82,ייצור מקומי,REVIEW,
"שטראוס גרופ בע""מ",חמאה,מוצרי חלב ותחליפיו,77.32,לא הוכרע,REVIEW,
יוניליוור ישראל,מרכך כביסה,תכשירי כביסה,76.65,לא הוכרע,REVIEW,
החברה המרכזית למשקאות קלים,משקאות מוגזים טעמי פירות,משקאות לא אלכוהולים,76.58,לא הוכרע,REVIEW,
קבוצת אסם סחר,שניצל  מן הצומח,מזון מוכן קפוא מן הצומח,75.19,לא הוכרע,REVIEW,
יוניליוור ישראל,דאודורנט לגברים,היגיינה וטיפוח הגוף,72.85,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",שמן זית,שמנים,71.65,לא הוכרע,REVIEW,
מרבה,עוגיות פרימיום,מאפים מתוקים ומלוחים,71.51,לא הוכרע,REVIEW,
