measure,spec,term,phase,b,se,pc,F,pj
CR3 ללא מאגדים,בלי ענקיות,ריכוזיות,כל התקופה,1.4989728566559941,1.2468768215213653,0.2292930261272823,10.883118355437418,1.3216350409069525e-41
CR3 ללא מאגדים,בלי ענקיות,ריכוזיות,2023-2024,1.1329394526852279,1.5424448138654696,0.4626386343015334,6.535870317286204,4.994916059968611e-16
CR3 ללא מאגדים,בלי ענקיות,ריכוזיות,2025-2026,2.908050539559694,1.7188372907099916,0.09067061973806584,4.231569583229786,4.072772066136346e-08
CR3 ללא מאגדים,ענקיות — נוכחות,ריכוזיות,כל התקופה,1.201821407144132,1.1889255905852947,0.3120898489917444,8.619044753035269,8.46278279808882e-34
CR3 ללא מאגדים,ענקיות — נוכחות,ריכוזיות,2023-2024,0.8277025032023467,1.4926991308868756,0.5792363228836295,6.537323560866753,4.948661846709097e-16
CR3 ללא מאגדים,ענקיות — נוכחות,ריכוזיות,2025-2026,2.4334377534774174,1.6411470256507497,0.1381364720466541,4.042220175747946,1.2090803013485015e-07
CR3 ללא מאגדים,ענקיות — נוכחות,ענקיות,כל התקופה,2.192053863215787,1.1013062983588418,0.04654550999144209,3.8933067243246824,1.3523944047900092e-13
CR3 ללא מאגדים,ענקיות — נוכחות,ענקיות,2023-2024,2.251699715445844,1.2683106112458125,0.07583953255360319,2.847987629384837,2.3190439027344284e-05
CR3 ללא מאגדים,ענקיות — נוכחות,ענקיות,2025-2026,3.5011668055877867,1.8292744257844347,0.05562465739555798,2.278049729632768,0.0022159098511296124
CR3 ללא מאגדים,ענקיות — ≥20%,ריכוזיות,כל התקופה,1.3183923429277182,1.2269466106298015,0.2825846947632864,6.954214838703878,2.4368865771468932e-27
CR3 ללא מאגדים,ענקיות — ≥20%,ריכוזיות,2023-2024,1.0809471838738216,1.5170345353389474,0.4761306974708357,4.3893961652435385,7.243570595485718e-10
CR3 ללא מאגדים,ענקיות — ≥20%,ריכוזיות,2025-2026,2.450991918318567,1.710842818844346,0.1519657477996291,2.7896622255067056,0.00014437202956846723
CR3 ללא מאגדים,ענקיות — ≥20%,ענקיות,כל התקופה,0.6945835500913738,0.7946464262938694,0.3820753724094712,4.752065895132639,1.0747170301691083e-17
CR3 ללא מאגדים,ענקיות — ≥20%,ענקיות,2023-2024,0.19998267754789065,0.8169466503326358,0.8066168505695561,2.6751316100211935,7.150461313362662e-05
CR3 ללא מאגדים,ענקיות — ≥20%,ענקיות,2025-2026,1.758026894414534,1.4082473878053694,0.21189218431160162,2.554318021071988,0.0005175239102081782
CR3 ללא מאגדים,ענקיות — ≥50%,ריכוזיות,כל התקופה,1.514441856552283,1.3382717685761973,0.2577858185108247,8.472174230211303,2.957691108130601e-33
CR3 ללא מאגדים,ענקיות — ≥50%,ריכוזיות,2023-2024,1.2135996870697159,1.6584534545709801,0.46431146487897046,5.342100773100218,1.209212916523945e-12
CR3 ללא מאגדים,ענקיות — ≥50%,ריכוזיות,2025-2026,2.8509426116159133,1.8476109475756002,0.12282041245836266,3.011706807322569,4.2284227787522396e-05
CR3 ללא מאגדים,ענקיות — ≥50%,ענקיות,כל התקופה,-0.07087666414221432,1.1735238908464978,0.9518398947118867,2.882995592115671,1.2469584178984436e-08
CR3 ללא מאגדים,ענקיות — ≥50%,ענקיות,2023-2024,-0.36957323552829263,1.3751062046435794,0.7881145488615939,2.01227541239076,0.004324613021720014
CR3 ללא מאגדים,ענקיות — ≥50%,ענקיות,2025-2026,0.26166005920301183,1.7663932037516754,0.882238282424417,1.0068908377324657,0.45336983142492837
CR3 עם מאגדים,בלי ענקיות,ריכוזיות,כל התקופה,1.296917949738121,1.380848540262645,0.347618775135216,7.337556969433407,6.908561028756359e-29
CR3 עם מאגדים,בלי ענקיות,ריכוזיות,2023-2024,1.1548195409074937,1.6973648970062476,0.4962764078117702,5.834359497651005,4.6987212185873483e-14
