measure,weighted,cluster,phase,b,se,pc,F,pj
CR3 עם מאגדים,True,תת-קטגוריה,כל התקופה,1.296917949738126,0.9144389076566379,0.15611301136099168,6.46027353763518,3.572440076358164e-36
CR3 עם מאגדים,True,תת-קטגוריה,2023-2024,1.1548195409075046,1.1331159566421074,0.3081299108768265,4.734837567608163,1.180115616454166e-12
CR3 עם מאגדים,True,תת-קטגוריה,2025-2026,2.2955167502008837,1.2753673023558572,0.07187851714422767,4.823010651937442,7.536788411803316e-11
CR3 עם מאגדים,True,קטגוריה,כל התקופה,1.296917949738126,1.3808485402626416,0.3476187751352129,7.337556969472365,6.908561026284744e-29
CR3 עם מאגדים,True,קטגוריה,2023-2024,1.1548195409075046,1.6973648970062438,0.4962764078117653,5.8343594976716515,4.698721217951949e-14
CR3 עם מאגדים,True,קטגוריה,2025-2026,2.2955167502008837,1.904813419730455,0.22815941126342998,3.9335793574125106,2.2560668379232264e-07
CR3 עם מאגדים,False,תת-קטגוריה,כל התקופה,0.23586713687663202,0.4036886434531038,0.5590320519166638,2.1183356948301264,8.85742780643639e-06
CR3 עם מאגדים,False,תת-קטגוריה,2023-2024,0.2680072546156086,0.450609680436487,0.5519999904250212,2.349197023744601,0.0002834745910902775
CR3 עם מאגדים,False,תת-קטגוריה,2025-2026,0.3442378114442175,0.6505776071354673,0.5967177429321037,1.9414696192545033,0.009209799136603178
CR3 עם מאגדים,False,קטגוריה,כל התקופה,0.23586713687663202,0.5892042562893129,0.6889247274194119,2.8007142044139646,3.158348253268046e-08
CR3 עם מאגדים,False,קטגוריה,2023-2024,0.2680072546156086,0.6705522194243339,0.6893911882077242,2.2887891507078706,0.0008233457134157723
CR3 עם מאגדים,False,קטגוריה,2025-2026,0.3442378114442175,0.8958940523064549,0.7008010033526848,2.001278970094301,0.008905647979202347
CR3 ללא מאגדים,True,תת-קטגוריה,כל התקופה,1.49897285665599,0.8622708509668975,0.08214010975145832,8.581860446919247,5.41940200969954e-51
CR3 ללא מאגדים,True,תת-קטגוריה,2023-2024,1.1329394526851968,1.077142942737446,0.29289110369401694,6.935160627020667,5.372373261999774e-21
CR3 ללא מאגדים,True,תת-קטגוריה,2025-2026,2.9080505395597207,1.2029077624154798,0.01562678351736595,4.332236114486352,2.3390118876132085e-09
CR3 ללא מאגדים,True,קטגוריה,כל התקופה,1.49897285665599,1.2468768215213641,0.2292930261272833,10.883118355410996,1.3216350411665982e-41
CR3 ללא מאגדים,True,קטגוריה,2023-2024,1.1329394526851968,1.542444813865469,0.4626386343015455,6.53587031729148,4.994916059799805e-16
CR3 ללא מאגדים,True,קטגוריה,2025-2026,2.9080505395597207,1.7188372907099885,0.0906706197380624,4.231569583227602,4.072772066187464e-08
CR3 ללא מאגדים,False,תת-קטגוריה,כל התקופה,0.4046630664425071,0.41263118056101833,0.32674588300687546,3.8276109960734086,3.528113964691003e-17
CR3 ללא מאגדים,False,תת-קטגוריה,2023-2024,0.4137914657944974,0.44630282971410296,0.35384656839556794,4.937880416681168,2.0457169730618963e-13
CR3 ללא מאגדים,False,תת-קטגוריה,2025-2026,0.6487091302773652,0.6918820484872472,0.3484496238057886,1.8152281320232466,0.01762617491351244
CR3 ללא מאגדים,False,קטגוריה,כל התקופה,0.4046630664425071,0.5484357654704437,0.4606058971450857,5.902796868900139,6.739672995539236e-23
CR3 ללא מאגדים,False,קטגוריה,2023-2024,0.4137914657944974,0.6120576358716783,0.4989986300659355,4.860165398226698,3.027076498073266e-11
CR3 ללא מאגדים,False,קטגוריה,2025-2026,0.6487091302773652,0.8741513113465916,0.4580257503682912,1.9461126119941163,0.01163399816091329
HHI,True,תת-קטגוריה,כל התקופה,0.6127488671637904,0.7434595369517684,0.409833937727178,4.988587939495786,1.4725078712104101e-25
HHI,True,תת-קטגוריה,2023-2024,0.2936998127268518,0.8985810498523137,0.7437825212816913,3.642594050759497,1.2115296008224832e-08
HHI,True,תת-קטגוריה,2025-2026,1.4027574836086318,1.0745664810044675,0.19175085106311285,4.065459193016646,1.4775923655152626e-08
HHI,True,קטגוריה,כל התקופה,0.6127488671637904,1.1266897943062248,0.5865455398115461,7.249209463268223,1.5585124353108925e-28
HHI,True,קטגוריה,2023-2024,0.2936998127268518,1.3500519605364647,0.82778204923016,5.24065608978072,2.3743953014212197e-12
HHI,True,קטגוריה,2025-2026,1.4027574836086318,1.603085819159504,0.38155442640665693,3.8702237159617154,3.244864877558057e-07
HHI,False,תת-קטגוריה,כל התקופה,0.2548065357702944,0.35873302119611133,0.47752076267645094,2.0398343125599787,2.499084789295765e-05
HHI,False,תת-קטגוריה,2023-2024,0.3456312071367575,0.43732006691628134,0.42932967907149855,2.1873367407270634,0.0008775379204180381
HHI,False,תת-קטגוריה,2025-2026,0.3010110787412625,0.5517812835435483,0.5853917509081559,1.5490725899783488,0.06248464402262674
HHI,False,קטגוריה,כל התקופה,0.2548065357702944,0.4400673484197836,0.5625776106391891,3.0901436793391808,1.1912822290058826e-09
HHI,False,קטגוריה,2023-2024,0.3456312071367575,0.5327807198290193,0.516512459993532,2.2736776778436973,0.0009035334328585686
HHI,False,קטגוריה,2025-2026,0.3010110787412625,0.6522832621190963,0.6444593267788791,1.2186466869332238,0.24221332744455987
