sc,ctg,dep,rev,fx_v2,imp_share,unk_share,identified,n_pairs
אבקה למדיח כלים,חומרים למדיח,שטיפת כלים,2.3617552917002334,54.91592700306684,99.53292779481576,0.0,100.0,2
אבקת כביסה 6-7 קג,חומרים לכביסה,תכשירי כביסה,318.12005335127355,48.13120452736128,41.42273149255479,0.0,96.87253261102764,4
אבקת כביסה מ- 7.1 קג ומעלה,חומרים לכביסה,תכשירי כביסה,124.19822459783825,51.44888200658452,67.81175854558215,3.6781546675235965,96.31346513216863,9
אבקת כביסה מ-1.6-3קג,חומרים לכביסה,תכשירי כביסה,107.99599413416418,47.60846624655949,32.102117467302854,8.061246362315162,83.59080635455004,8
אבקת כביסה מ-3.1-4.99קג,חומרים לכביסה,תכשירי כביסה,56.44924040664217,53.099436790036066,83.1110506176138,0.0,98.75130941908729,3
אבקת כביסה מ-5 - 5.99,חומרים לכביסה,תכשירי כביסה,180.90567467730494,53.4892489405139,78.1526958012911,9.817616203729491,89.4089133487136,7
אבקת כביסה עד-1.5קג,חומרים לכביסה,תכשירי כביסה,106.75964588352441,47.72454441735714,35.67405667241704,8.086405359620489,90.60951538444273,10
אבקת קפה נמס,קפה נמס,קפה/קקאו,504.68102104185584,52.06519935898979,0.35146820535574036,0.2389528642724554,97.03205360337623,8
אבקת שוקו,שוקו,קפה/קקאו,277.9231700666054,52.40006443422646,3.4949540260315963,4.2111959260584095,92.04845730163444,23
אבקת תה,אבקות תה,תה,0.44770819020174035,38.5,0.0,89.99115473411194,0.0,3
אגוזי מלך,פיצוחים,פיצוחים ופירות יבשים ארוזים,141.42292760903084,70.20555442358784,44.29474035435025,9.501106054120626,51.84537307974981,23
אגוזי פקאן,פיצוחים,פיצוחים ופירות יבשים ארוזים,109.92049369654079,70.38360694560788,44.159958440377466,12.482920322010765,54.83623131254685,21
אגוזים אחרים,פיצוחים,פיצוחים ופירות יבשים ארוזים,12.244002112496602,72.1459877213243,18.767233045912093,29.866506755055124,18.936331758978046,13
אובלטים,חטיפים אפויים,מאפים מתוקים ומלוחים,36.5205538550764,44.27458641238076,0.0,74.98790891419004,14.600081961206739,10
אווזית טרי - 14,נתחים אחורי טרי,קצביה בשרית טרי,7.69933175787036,62.28510480523183,0.0,3.945144066425024,7.134017274703706,4
אוכמניות קפואות,פירות קפואים,ירקות ופירות קפואים,85.875806831653,43.87532529280725,10.1781149833477,28.354355575916696,50.45830217965621,15
אורגנו טרי,אורגנו,עלים ותבלינים טריים,2.3251245549533044,13.0,0.0,20.759861484282148,3.9652529918536557,5
אורגנו מהדרין,אורגנו,עלים ותבלינים טריים,2.327880023136471,13.0,0.0,0.0,0.0,1
אורז אחר,אורז,אורז קטניות פסטה תבשילים ותערובות,17.117803591558502,63.999999999999986,0.0,12.600363994707804,64.1452398981972,7
אורז בסמטי,אורז,אורז קטניות פסטה תבשילים ותערובות,690.6455586784307,71.25350722859133,42.24584592543111,3.399599895973089,80.93302631810478,32
אורז יסמין,אורז,אורז קטניות פסטה תבשילים ותערובות,228.34629271853206,65.48295262347676,10.530700150643867,8.086222535043019,82.45657484422601,23
אורז מלא,אורז,אורז קטניות פסטה תבשילים ותערובות,29.606067915377366,64.2771809768255,3.9738649293935673,5.728739349763783,86.02029565460155,8
אורז עגול,אורז,אורז קטניות פסטה תבשילים ותערובות,132.0169291795453,65.67189709924304,9.88098174811386,7.525335984585971,89.85870819546035,13
אורז פרסי,אורז,אורז קטניות פסטה תבשילים ותערובות,482.6876011247775,65.04126094698289,9.633716064489002,5.7308722063899,83.99676556295499,22
אורז תאילנדי,אורז,אורז קטניות פסטה תבשילים ותערובות,22.807585094356668,64.08293422497843,0.6836218532958288,0.0,90.67234170463215,4
אטריות בסיסיות,אטריות,אורז קטניות פסטה תבשילים ותערובות,175.20340058570068,66.08258956919413,10.306328814689223,14.208642816694686,72.32492925238691,18
אנטריקוט טרי - 1,נתחים קדמי טרי,קצביה בשרית טרי,1303.2381904812353,72.82812105249337,8.111026909145307,0.0,9.238403801185987,8
אנטריקוט מופשר - 1,נתחים קדמי מופשר,קצביה בשרית מופשר,76.55762179612893,84.1108185817719,13.057354845984062,0.0,13.057354845984062,4
אננס מיובש ארוז,פירות יבשים,פיצוחים ופירות יבשים ארוזים,4.6022189468102095,71.81733584727401,64.53151573006885,13.530076499369883,64.53151573006885,10
אננס קפוא,פירות קפואים,ירקות ופירות קפואים,31.522484678080712,44.776497756190174,12.34132530680928,9.992100235859548,53.91189510167381,11
אסאדו טרי - 9,נתחים קדמי טרי,קצביה בשרית טרי,415.45129519084776,66.78985641214638,5.810661843092214,0.5197289587459291,12.779009701172328,10
אספרסו טחון,קפה אספרסו,קפה/קקאו,27.675555672476712,69.37823920929756,60.83999431391971,30.928977592949693,63.0167351514331,10
אספרסו קפסולות,קפה אספרסו,קפה/קקאו,868.8353320608401,59.16286375867729,39.58504664750728,3.2873762401571684,89.46011462445847,27
אפונה יבשה,קטניות,אורז קטניות פסטה תבשילים ותערובות,31.052528522080216,66.01262793458018,23.831509482691107,5.96116697032667,71.04594666473857,11
אפונה קפואה,ירקות קפואים,ירקות ופירות קפואים,375.1915274512689,40.99090533926264,7.929866178891784,5.036677154578024,71.1094154469305,23
אפונה+גזר קפוא,ירקות קפואים,ירקות ופירות קפואים,36.18508748273395,41.91201267059125,8.821913205369665,6.843756356939576,64.01760736614195,14
אפטר שייב,מוצרי אפטר שייב,מוצרי גילוח,22.049054218850415,48.701774781794896,84.91846925522714,0.0,94.14247993909939,5
אקונומיקה,מוצרי אקונומיקה,ניקוי הבית,68.15125158587281,40.75231086805868,0.0,22.56995702720036,28.44154778174249,15
אקונומיקה ריחנית,מוצרי אקונומיקה,ניקוי הבית,465.695383703683,40.81518836317521,0.39142675928441806,3.522145163815263,85.5648316373697,15
אריזה מאגדת,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,361.33228485074676,59.02533214169806,90.98193975467835,2.4735753616640306,97.52329382125504,19
אריזה משפחתית,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,795.9691879996956,48.9232985739045,24.018362402304003,3.156052385999431,96.51274849493007,31
אריסה,ממרחים מצוננים,סלטים ארוזים,66.00579892669256,60.373459706345905,57.54495898665402,12.758712310375325,75.48784169726368,17
אשל,אשל לבן שמנת,מוצרי חלב ותחליפיו,126.88356202871574,13.600000000000001,0.0,0.0,100.0,1
בוטנים,פיצוחים,פיצוחים ופירות יבשים ארוזים,69.37171772018928,70.48568253628923,38.78045504511121,12.139448440083314,52.922651082399874,20
בוטנים אמריקאים,פיצוחים,פיצוחים ופירות יבשים ארוזים,81.12407975336889,63.572665117357836,9.507896776555224,1.422954535774884,92.9535396296171,8
בולגרית בקר מדף,גבינות מלוחות מדף,מוצרי חלב ותחליפיו,753.4044079162123,15.819307033348007,3.971436637479805,0.026421699487708176,97.01259875001749,10
בולגרית+פטה בקר במשקל,גבינות מלוחות במשקל,מעדניה חלבית,587.3438103294166,20.02090397246885,11.212431105796723,0.0,97.98429217773432,16
בורגול,קטניות,אורז קטניות פסטה תבשילים ותערובות,48.52579197699007,66.23980032503994,30.24676546599333,4.672749311706721,81.02534443230951,11
בורטה,מוצרלה טרייה,מוצרי חלב ותחליפיו,50.26879854536885,26.74233350547625,20.678455071422885,1.4868986684975074,98.51310133150248,6
בורקס גבינה,בורקס,מוצרי בצק קפוא,228.142912146325,22.84389843042038,13.685651690278227,1.7813861290013107,81.88692764569608,18
בורקס פילו אחר,בורקס,מוצרי בצק קפוא,15.1268768744861,65.92224193789832,87.22908354627383,0.0,98.01569889710505,6
בורקס פילו גבינה,בורקס,מוצרי בצק קפוא,105.07772167627138,51.79140969016449,67.25517974892345,0.0,98.6638416116351,6
"בורקס פילו תפו""א",בורקס,מוצרי בצק קפוא,25.530834102896115,54.87855529482174,47.450252691258214,0.0,98.23508931079388,5
בורקס שונים,בורקס,מוצרי בצק קפוא,31.367251377126944,43.998254412189866,10.630282556798083,8.743138261942102,78.52833764009574,11
"בורקס תפו""א",בורקס,מוצרי בצק קפוא,171.71685031909706,45.89886477623613,14.31035613604662,2.8751703778918043,77.78605853618706,15
בזיליקום טרי,בזיליקום,עלים ותבלינים טריים,111.95274447157408,17.763632326831267,0.0,15.55581588008563,10.897873075690269,8
בזיליקום מהדרין,בזיליקום,עלים ותבלינים טריים,5.439730536189705,43.468265898933545,49.99111627226892,3.5023367248709407,85.31952736597896,5
בייגלה אריזה אישית 50-80גר,בייגלה,חטיפים מלוחים,23.021347340420693,34.99999999999999,0.0,16.703956647895915,73.3023903115452,11
בייגלה אריזה משפחתית 231-750גר,בייגלה,חטיפים מלוחים,441.4051018773855,35.00000000000001,0.0,16.515778341884847,78.70698161185932,20
בייגלה חטיפים 81-230גר,בייגלה,חטיפים מלוחים,138.48861708537282,39.215986272237565,6.926318597040861,38.76025087931882,49.28610875218644,19
בייגלה עם חלבון,בייגלה,חטיפים מלוחים,10.93425147888279,13.600000000000001,0.0,5.230328410523475,94.76967158947654,6
בייגלה קפוא,בצקים קפואים,מוצרי בצק קפוא,16.362422402574786,68.0919862379326,99.38216689176583,0.0,99.58869526562637,6
בייגלה שטוח אריזה אישית 50-80גר,בייגלה,חטיפים מלוחים,14.895444754708453,37.67031564401337,8.853457553322182,0.0,99.46529250020572,4
בייגלה שטוח אריזה משפחתית 231-750גר,בייגלה,חטיפים מלוחים,266.68474481495076,37.40415778226158,7.44888039055123,2.394192961563457,92.97794733585827,8
ביסקוויטים/ פריכיות לתינוק,מזון תינוקות/ילדים אחר,מזון תינוקות/ילדים,56.57491112894718,57.072798902157025,66.18275723174288,0.18618472420185125,89.02944878090562,6
ביצי דגים טריים,דגים טריים פרימיום,קצביה דגים טריים,12.096527437855505,75.58949588861154,0.0,0.0,0.0,1
"בירה לבנה ב""ח",בירה לבנה בקבוק חוזר,בירה לבנה,407.9524918322095,28.000000000000004,0.0,0.19907087795457123,99.80092912204545,3
"בירה לבנה בודד 501 מ""ל ומעלה",בירה לבנה בודד,בירה לבנה,20.00392368891701,42.660941890553076,11.695645750991948,65.4054969404201,33.50515438971778,11
"בירה לבנה בודד בקבוק 330 מ""ל",בירה לבנה בודד,בירה לבנה,277.9873789967381,32.30913291198939,10.13327066112195,2.1026975894903632,97.72585712792014,20
"בירה לבנה בודד בקבוק 500 מ""ל",בירה לבנה בודד,בירה לבנה,139.45361908428282,29.790057688634267,3.1810071147985473,23.77741459752997,72.41529924242136,26
"בירה לבנה בודד פחית 330 מ""ל",בירה לבנה בודד,בירה לבנה,15.307295624707463,36.688250605821885,15.276794749380706,26.150221881946532,73.84977811805346,7
"בירה לבנה בודד פחית 500 מ""ל",בירה לבנה בודד,בירה לבנה,654.9008001758459,28.758176619824628,1.5420576637130006,14.472456719254513,85.4239239016989,41
בירה לבנה בחביות,בירה לבנה בחבית,בירה לבנה,2.245227880583591,28.0,0.0,100.0,0.0,3
"בירה לבנה מארז בקבוק 330 מ""ל",בירה לבנה באריזה,בירה לבנה,1579.9145220653793,28.015321295634916,0.03524234274887555,2.5890282946382914,96.60921835358668,15
"בירה לבנה מארז בקבוק 500 מ""ל",בירה לבנה באריזה,בירה לבנה,9.480185752071593,28.076341499210866,0.18108829499663118,0.0,99.62744337586125,5
"בירה לבנה מארז פחית 330 מ""ל",בירה לבנה באריזה,בירה לבנה,17.011201970610315,28.000000000000004,0.0,0.0,100.0,2
"בירה לבנה מארז פחית 500 מ""ל",בירה לבנה באריזה,בירה לבנה,25.018036554394172,28.260642638343846,0.24934221613560165,40.29159680789542,40.179048003190516,10
בירה ללא אלכוהול בודד,בירה ללא אלכוהול,בירה לבנה,6.624237796939282,31.55304355833449,4.7305260059307965,44.081154934608506,55.9188450653915,8
בירה ללא אלכוהול מארז,בירה ללא אלכוהול,בירה לבנה,22.478341283890177,28.000000000000004,0.0,5.268932972641534,94.73106702735846,5
בננה מיובשת ארוז,פירות יבשים,פיצוחים ופירות יבשים ארוזים,3.486095839632781,74.16253457725266,50.44147036242948,7.040124882866536,50.44147036242948,8
