control,phase,term,measure,F,p
False,ALL (54m),ריכוזיות,CR3 ללא מאגדים,2.6156765059599,1.808765461754732e-07
False,ALL (54m),ריכוזיות,CR3 עם מאגדים,1.2681017725650707,0.11428102524704585
False,ALL (54m),ריכוזיות,HHI,1.2575924293213985,0.12251069859901363
False,ALL (54m),ענקיות,CR3 ללא מאגדים,2.3540040772696122,3.5398936754743535e-06
False,ALL (54m),ענקיות,CR3 עם מאגדים,2.4320785306623027,1.4700088474103459e-06
False,ALL (54m),ענקיות,HHI,2.4256521332844834,1.5807740079590232e-06
False,פיחות 22/02-23/10,ריכוזיות,CR3 ללא מאגדים,3.269537787254658,3.868280110678716e-06
False,פיחות 22/02-23/10,ריכוזיות,CR3 עם מאגדים,1.967380024710847,0.007850719187333488
False,פיחות 22/02-23/10,ריכוזיות,HHI,1.2992805039486504,0.17409281370692264
False,פיחות 22/02-23/10,ענקיות,CR3 ללא מאגדים,1.6632774559470183,0.03619181648616172
False,פיחות 22/02-23/10,ענקיות,CR3 עם מאגדים,1.624979907934097,0.043346128294562615
False,פיחות 22/02-23/10,ענקיות,HHI,1.5965263333687851,0.049462213136426916
False,ייסוף 23/11-26/07,ריכוזיות,CR3 ללא מאגדים,2.3757598764402466,8.014688766989495e-05
False,ייסוף 23/11-26/07,ריכוזיות,CR3 עם מאגדים,1.0119531396371826,0.4546069340467083
False,ייסוף 23/11-26/07,ריכוזיות,HHI,1.0089351247957392,0.4591552500962556
False,ייסוף 23/11-26/07,ענקיות,CR3 ללא מאגדים,2.134453322262805,0.0005334301578099715
False,ייסוף 23/11-26/07,ענקיות,CR3 עם מאגדים,2.2418958986898416,0.00023171330919259154
False,ייסוף 23/11-26/07,ענקיות,HHI,2.231944736574319,0.0002505000114834687
True,ALL (54m),ריכוזיות,CR3 ללא מאגדים,2.6957297384559684,7.183204276979758e-08
True,ALL (54m),ריכוזיות,CR3 עם מאגדים,1.3173890916102264,0.08145350197702562
True,ALL (54m),ריכוזיות,HHI,1.2615912923830874,0.11932516023915876
True,ALL (54m),ענקיות,CR3 ללא מאגדים,2.3398929139281104,4.145463357116654e-06
True,ALL (54m),ענקיות,CR3 עם מאגדים,2.4007007967406913,2.0948115170226564e-06
True,ALL (54m),ענקיות,HHI,2.3958514495714485,2.21242012780832e-06
True,ALL (54m),ייבוא,CR3 ללא מאגדים,4.065720865678306,7.955780273066308e-15
True,ALL (54m),ייבוא,CR3 עם מאגדים,3.9270529097129816,3.9716895375129965e-14
True,ALL (54m),ייבוא,HHI,3.95688503157194,2.80851975395242e-14
True,פיחות 22/02-23/10,ריכוזיות,CR3 ללא מאגדים,3.5355454906445436,7.39109437523745e-07
True,פיחות 22/02-23/10,ריכוזיות,CR3 עם מאגדים,1.9210025398913448,0.010008327498905985
True,פיחות 22/02-23/10,ריכוזיות,HHI,1.2873538685110517,0.18214623398463484
True,פיחות 22/02-23/10,ענקיות,CR3 ללא מאגדים,1.6573311343666144,0.03722724423678224
True,פיחות 22/02-23/10,ענקיות,CR3 עם מאגדים,1.6484149408238409,0.03883028281536706
True,פיחות 22/02-23/10,ענקיות,HHI,1.620622576914836,0.044236240324526784
True,פיחות 22/02-23/10,ייבוא,CR3 ללא מאגדים,2.3080292819792354,0.0012141268711652038
True,פיחות 22/02-23/10,ייבוא,CR3 עם מאגדים,2.1607488901376164,0.002765775129643217
True,פיחות 22/02-23/10,ייבוא,HHI,2.158882998803177,0.0027943633896576232
True,ייסוף 23/11-26/07,ריכוזיות,CR3 ללא מאגדים,2.312553974615847,0.00013269040314305773
True,ייסוף 23/11-26/07,ריכוזיות,CR3 עם מאגדים,0.9988763689663283,0.4744228170988255
True,ייסוף 23/11-26/07,ריכוזיות,HHI,1.0214044449349609,0.4404685628893156
True,ייסוף 23/11-26/07,ענקיות,CR3 ללא מאגדים,2.1228071607863583,0.0005832473460101108
True,ייסוף 23/11-26/07,ענקיות,CR3 עם מאגדים,2.203360458434986,0.00031312039265954703
True,ייסוף 23/11-26/07,ענקיות,HHI,2.1932959501970375,0.0003386141878894826
True,ייסוף 23/11-26/07,ייבוא,CR3 ללא מאגדים,3.033737330198743,3.4045838401128987e-07
True,ייסוף 23/11-26/07,ייבוא,CR3 עם מאגדים,2.9967559487375652,4.661069058304133e-07
True,ייסוף 23/11-26/07,ייבוא,HHI,3.0170516119160458,3.923259341828003e-07
