group,rev,cats,deps,ents,share
תנובה,6520.182099361425,56,18,5,11.595353207596574
שטראוס,6106.539664973044,67,21,2,10.859740297513417
החברה המרכזית למשקאות קלים,3192.9185407706063,47,7,1,5.678218442234151
קבוצת אסם סחר,3122.0916296133937,46,16,1,5.552261369416908
דיפלומט,2151.1110112429083,71,31,1,3.8254900835598793
נטו,1618.542280679941,78,27,2,2.8783811770764647
יוניליוור ישראל,1518.2846549709177,35,16,1,2.700085147282297
סנו,1444.850656505879,46,13,1,2.5694916858310255
שסטוביץ,1109.5821009974247,70,25,1,1.9732572154928478
טמפו,1046.290380474452,27,7,1,1.8607005654796167
