sample,weighted,control,phase,term,measure,coef_pct,se_pct,p_coef,F,p_joint
פאנל מלא,False,False,כל התקופה,ריכוזיות,CR3 ללא מאגדים,-0.8285909811078996,0.7922538190318089,0.29562310886494725,2.615676505961371,1.8087654617241534e-07
פאנל מלא,False,False,כל התקופה,ריכוזיות,CR3 עם מאגדים,-0.5438994270676434,0.7395417832245175,0.4620626627559905,1.2681017725649995,0.11428102524709989
פאנל מלא,False,False,כל התקופה,ריכוזיות,HHI,-0.03878752344812704,0.6135014506945133,0.9495887727118625,1.257592429321086,0.1225106985992641
פאנל מלא,False,False,כל התקופה,ענקיות,CR3 ללא מאגדים,1.0087556281876329,1.4680560367967015,0.49199639697469233,2.354004077268988,3.5398936754991406e-06
פאנל מלא,False,False,כל התקופה,ענקיות,CR3 עם מאגדים,0.6802575396182726,1.4650711540353225,0.6424205987640272,2.4320785306609176,1.4700088474334008e-06
פאנל מלא,False,False,כל התקופה,ענקיות,HHI,0.4686740069747769,1.4966782278564303,0.7541721753882353,2.425652133284419,1.5807740079601587e-06
פאנל מלא,False,False,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-0.9219935264713972,0.5535793871217312,0.09581050238349581,3.269537787254681,3.868280110678177e-06
פאנל מלא,False,False,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.37510475577600433,0.5301665451064905,0.47924183960627065,1.9673800247115658,0.007850719187303746
פאנל מלא,False,False,פיחות 2/22-10/23,ריכוזיות,HHI,-0.05448821742869306,0.4153849955367945,0.8956366995512673,1.2992805039480917,0.17409281370729374
פאנל מלא,False,False,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.07602697820440385,1.080772060832585,0.9439190166013848,1.6632774559469279,0.036191816486176705
פאנל מלא,False,False,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-0.5368604156166157,1.0847705699482801,0.6206658557143437,1.6249799079331886,0.04334612829474543
פאנל מלא,False,False,פיחות 2/22-10/23,ענקיות,HHI,-0.672990773111431,1.1000232173445923,0.5406721537552817,1.5965263333686062,0.04946221313646722
פאנל מלא,False,False,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,-0.7691529976947648,0.9967483348796978,0.44031453331473813,2.3757598764406547,8.014688766963277e-05
פאנל מלא,False,False,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,-0.6513142178895955,0.9197302262734134,0.4788472121865388,1.0119531396371724,0.4546069340467248
פאנל מלא,False,False,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.02879617273322139,0.7800473479381822,0.9705520386740314,1.0089351247959644,0.4591552500959098
פאנל מלא,False,False,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,1.6990718322552931,1.8143876748616672,0.3490448083317904,2.1344533222626203,0.0005334301578107243
פאנל מלא,False,False,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,1.45478714749502,1.799833299358675,0.41892369303378174,2.241895898689233,0.0002317133091936965
פאנל מלא,False,False,ייסוף 11/23-7/26,ענקיות,HHI,1.195187957938727,1.8339326690442057,0.514589783804464,2.2319447365746083,0.00025050001148290335
פאנל מלא,False,True,כל התקופה,ריכוזיות,CR3 ללא מאגדים,-0.8453067183932548,0.7944499859140813,0.28732189495308835,2.6957297384579344,7.183204276816356e-08
