קטגוריה,מחלקה,בסיס מדידה,כמות סטנדרטית 2024,מכר כספי (מיליוני ₪),מספר ספקים,HHI,CR3,CR1,ספק 1,ספק 2,ספק 3,מספר ספקים ללא מאגדים,HHI ללא מאגדים,CR3 ללא מאגדים
עוף טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",51910.68,1756.16,32,1348.3,54.24,19.47,ספק כללי,"נטו סחר בע""מ",ספק מותג פרטי,28,1940.4,72.6
חלב,מוצרי חלב ותחליפיו,ליטר,229562.73,1696.5,9,4575.4,93.03,64.05,תנובה חלב,החברה המרכזית למשקאות קלים,"שטראוס גרופ בע""מ",9,4575.4,93.03
חטיפים,חטיפים מלוחים,"ק""ג",26231.22,1678.59,71,3663.2,87.27,46.47,קבוצת אסם סחר,"שטראוס גרופ בע""מ",דיפלומט,69,3781.8,88.69
יוגורט,מוצרי חלב ותחליפיו,ליטר,49177.73,1185.48,25,3976.7,95.39,55.1,"שטראוס גרופ בע""מ",תנובה חלב,החברה המרכזית למשקאות קלים,23,4000.0,95.67
חלקי עוף טרי,קצביה עוף טרי,"ק""ג",31789.97,1121.01,30,1117.7,45.84,22.04,ספק קצביה כללי,ספק כללי בשר טרי,תנובה תשלובת המותגים,26,1405.1,59.31
דגים קפואים בואקום,דגים קפואים,"ק""ג",24020.13,1101.53,49,1314.0,54.38,24.49,ספק מותג פרטי,"נטו סחר בע""מ",תנובה תשלובת המותגים,46,1402.1,54.26
נתחים קדמי טרי,קצביה בשרית טרי,"ק""ג",12194.46,969.22,32,4120.5,77.29,62.78,ספק כללי,"בית מטבחיים דבאח בע""מ","נטו סחר בע""מ",28,1985.1,72.59
גבינות צהובות מדף,מוצרי חלב ותחליפיו,"ק""ג",13420.65,895.68,12,4174.7,83.58,61.92,תנובה חלב,החברה המרכזית למשקאות קלים,ספק כללי,10,5446.0,94.42
חטיפים מתוקים,בונבוניירות חטיפים מתוקים,"ק""ג",8519.16,753.09,47,2819.2,80.38,45.34,"שטראוס גרופ בע""מ",יוניליוור ישראל,מרס מולטיסיילס ישראל,45,2835.8,80.62
ירקות קפואים,ירקות ופירות קפואים,"ק""ג",37894.66,732.09,38,1679.4,65.71,25.11,תנובה תשלובת המותגים,ספק מותג פרטי,תפוגן בעמ,36,2139.5,76.01
