קטגוריה,ספקים סה״כ,ספקים נקובים,מכר 2022 (מ׳ ₪),חלק המאגדים בכמות %,CR3 2022 (3 ספקים נקובים / שוק מלא),CR3 2022 (מאגדים כספק),ספק 1,ספק 2,ספק 3
חטיפים,73,71,1468.5,1.8,88.09,88.09,קבוצת אסם סחר,"שטראוס גרופ בע""מ",דיפלומט
חלב,10,9,1461.9,2.9,96.35,96.35,תנובה חלב,החברה המרכזית למשקאות קלים,"שטראוס גרופ בע""מ"
עוף טרי ארוז,30,26,1329.9,35.2,41.78,51.21,"נטו סחר בע""מ",עוף ירושלים מהדרין בעמ,"קורניש חן (1987) בע""מ"
יוגורט,28,26,1056.5,0.6,94.21,94.21,"שטראוס גרופ בע""מ",תנובה חלב,החברה המרכזית למשקאות קלים
חלקי עוף טרי,30,26,1018.1,44.5,32.12,44.72,תנובה תשלובת המותגים,"נטו סחר בע""מ","קורניש חן (1987) בע""מ"
דגים קפואים בואקום,49,46,935.0,26.4,31.71,44.87,תנובה תשלובת המותגים,בלדי,"נטו סחר בע""מ"
נתחים קדמי טרי,32,28,769.1,73.5,18.95,71.43,"בית מטבחיים דבאח בע""מ","נטו סחר בע""מ","בקר תנובה בע""מ"
גבינות צהובות מדף,12,10,757.8,11.1,81.4,84.24,תנובה חלב,החברה המרכזית למשקאות קלים,"נטו סחר בע""מ"
כלים חד פעמים,130,128,695.8,27.7,41.73,48.56,"ר. שמאי יבוא ושיווק בע""מ",הנמל,"ב.ה. דבליו יבוא ושיווק בע""מ"
נייר טואלט,27,25,660.5,25.5,62.32,71.05,ארבקס,סנו,הנמל
חיתולים,5,4,646.7,9.1,90.93,90.93,חוגלה קימברלי,דיפלומט,"ניאופרם (יבוא) 1966 בע""מ"
שמנים רגילים,67,65,642.6,39.1,35.82,61.88,סוגת,"טעמן - שיווק מזון בע""מ","אדום יבוא מזון בע""מ"
ירקות קפואים,41,39,629.3,28.9,55.24,72.47,תנובה תשלובת המותגים,תפוגן בעמ,ויטה פרי הגליל
שימורי טונה,32,30,622.4,9.1,71.32,71.32,דיפלומט,"נטו סחר בע""מ",תעשיות פיל-טונה בעמ
