קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
חטיפים,חטיפים מלוחים,"ק""ג",23323,7207.06,100.0
חלב,מוצרי חלב ותחליפיו,ליטר,2891,7128.21,100.0
עוף טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",29472,6901.0,100.0
יוגורט,מוצרי חלב ותחליפיו,ליטר,13682,5068.38,100.0
חלקי עוף טרי,קצביה עוף טרי,"ק""ג",9588,4751.24,100.0
דגים קפואים בואקום,דגים קפואים,"ק""ג",10469,4366.84,100.0
נתחים קדמי טרי,קצביה בשרית טרי,"ק""ג",16812,3922.59,100.0
גבינות צהובות מדף,מוצרי חלב ותחליפיו,"ק""ג",3525,3801.22,100.0
נייר טואלט,מוצרי נייר,יח' באריזה,8229,3074.49,100.0
חטיפים מתוקים,בונבוניירות חטיפים מתוקים,"ק""ג",12358,3069.04,100.0
ירקות קפואים,ירקות ופירות קפואים,"ק""ג",16799,3021.93,99.97
חיתולים,אביזרים ומוצרי תינוקות,יח' באריזה,7017,3000.36,100.0
שימורי טונה,שימורים,"ק""ג",10366,2903.97,100.0
מים בבקבוק,משקאות לא אלכוהולים,ליטר,5198,2719.31,100.0
כלים חד פעמים,אביזרים לארוח,יח' באריזה,84688,2679.3,100.0
מעדנים,מוצרי חלב ותחליפיו,ליטר,4857,2667.56,100.0
קוטג,מוצרי חלב ותחליפיו,"ק""ג",701,2634.17,100.0
משקה קולה דיאט,משקאות לא אלכוהולים,ליטר,2146,2602.74,100.0
דגנים,דגנים ודגנים מיוחדים,"ק""ג",9335,2582.55,100.0
חומרים לכביסה,תכשירי כביסה,יח' באריזה,12437,2581.89,100.0
שמנים רגילים,שמנים,ליטר,7759,2534.37,100.0
עוגיות פרימיום,מאפים מתוקים ומלוחים,"ק""ג",12965,2389.8,100.0
לחם ארוז מיוחד,לחם ותחליפיו,"ק""ג",16237,2384.25,100.0
תחליפי חלב אם חלבי,מזון תינוקות/ילדים,"ק""ג",2704,2380.26,100.0
משקה קולה רגיל,משקאות לא אלכוהולים,ליטר,2022,2230.21,100.0
פיתות ארוזות,לחם ותחליפיו,"ק""ג",9261,2210.65,99.47
גבינות לבנות,מוצרי חלב ותחליפיו,"ק""ג",3018,2155.13,100.0
גבינות צהובות במשקל,מעדניה חלבית,"ק""ג",3006,2138.98,100.0
קפה נמס,קפה/קקאו,"ק""ג",3560,2113.31,100.0
פסטרמות ונקניקים ארוזים,מזון מקורר ארוז,"ק""ג",10938,2102.33,100.0
בשר טחון טרי,קצביה בשרית טרי,"ק""ג",3409,2078.1,100.0
משקאות חלב,מוצרי חלב ותחליפיו,ליטר,2903,2065.28,100.0
מיכלי שמנת מתוקה,מוצרי חלב ותחליפיו,ליטר,2207,1989.39,100.0
גבינות מלוחות מדף,מוצרי חלב ותחליפיו,"ק""ג",5927,1831.32,100.0
גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,"ק""ג",10949,1791.16,99.98
מגבונים לחים,אביזרים ומוצרי תינוקות,יח' באריזה,7851,1716.81,100.0
תחליפי לחם,לחם ותחליפיו,"ק""ג",17129,1711.94,100.0
שימורי עגבניות,שימורים,"ק""ג",8067,1703.67,100.0
הגיינה נשית,היגיינה וטיפוח הגוף,יח' באריזה,16085,1702.57,100.0
עוגיות בייסיק,מאפים מתוקים ומלוחים,"ק""ג",23968,1689.13,100.0
שמן זית,שמנים,ליטר,4453,1639.03,100.0
חמאה,מוצרי חלב ותחליפיו,"ק""ג",2798,1617.45,100.0
מגבות נייר,מוצרי נייר,יח' באריזה,2661,1616.62,100.0
מרכך כביסה,תכשירי כביסה,ליטר,9907,1602.13,100.0
משחות שיניים,היגיינת הפה,ליטר,13041,1600.97,99.79
משקאות קלים,משקאות לא אלכוהולים,ליטר,9279,1594.32,100.0
בירה לבנה באריזה,בירה לבנה,ליטר,3573,1565.34,100.0
