sub,cat,dep,n_sup,n_real,rev_2022,bucket_pct,cr3_in,cr3_ex,hhi,top1
עוגיות סנדביץ פרימיום,עוגיות פרימיום,מאפים מתוקים ומלוחים,14,13,124.91,0.7,90.57993583571111,90.57993583571111,5490.541729444641,דיפלומט
בורקס שונים,בורקס,מוצרי בצק קפוא,7,6,10.17,15.8,82.68447087908139,74.51155381535995,3887.467973432244,תנובה תשלובת המותגים
מאפי שמרים מלוח קפוא,בצקים קפואים,מוצרי בצק קפוא,3,3,0.4,,99.99999999999999,99.99999999999999,5081.339940125327,"מוצרי איכות אמריקאיים בע""מ"
נקניקיות קפואות,מוצרי בשר על האש,בשר ועוף קפוא,16,13,25.86,20.2,50.73839707825064,50.73839707825064,1165.7006541552666,בלדי
עלי טורטיה,תחליפי לחם,לחם ותחליפיו,28,26,65.97,18.8,68.71017336124079,62.78408640497006,1950.0896183158159,"דין שיווק וקליה בע""מ"
חלקי בשר ללא סיווג מופשר,חלקים ללא סיווג מופשר,קצביה בשרית מופשר,4,2,7.08,74.0,99.57067812899889,25.95245854503655,6015.7016956994,ספק קצביה כללי
בשר בקר אחר,בשר בקר קפוא,בשר ועוף קפוא,43,40,199.99,17.5,44.441272813913564,43.504762024571484,1042.529516136434,"נטו סחר בע""מ"
דאודורנט גברים ספריי,דאודורנט לגברים,היגיינה וטיפוח הגוף,13,11,32.01,3.2,61.77084876685235,61.77084876685235,1665.9386894439235,יוניליוור ישראל
לשון בקר טרי,בשר בקר חלקי פנים,קצביה בשרית טרי,5,2,2.94,97.4,98.19684451268455,2.6243956703797617,7015.135131456336,ספק כללי
כוסמת,קטניות,אורז קטניות פסטה תבשילים ותערובות,25,23,17.35,15.0,59.30021637922971,54.6414734954368,1820.845569840848,סוגת
שימורי דובדבן,שימורי פירות וקוקטלים,שימורים,6,5,3.47,18.9,92.62686115071213,78.66761665325701,3555.1630633516656,ג. וילי פוד
שמן זית כתית מעולה,שמן זית,שמנים,36,34,331.28,35.0,50.550460436802155,31.017399810214556,1209.8035807722872,ספק מותג פרטי
פסטה קצרה,פסטה,אורז קטניות פסטה תבשילים ותערובות,30,28,146.15,17.8,70.00176952664819,63.50767557060398,2124.8913543049403,קבוצת אסם סחר
חטיפי בוטנים,חטיפים,חטיפים מלוחים,17,15,353.67,1.5,97.1402655029051,97.1402655029051,8608.109322639048,קבוצת אסם סחר
נתח קידמי אחר טרי,נתחים קדמי טרי,קצביה בשרית טרי,5,4,20.99,58.9,96.83415356629638,40.87186841954083,4375.881952496003,ספק כללי
נסיכת הנילוס בואקום,דגים קפואים בואקום,דגים קפואים,22,20,32.26,7.2,61.9759096654212,61.9759096654212,1653.3628970940454,תנובה תשלובת המותגים
ירקות קפואים אחרים,ירקות קפואים,ירקות ופירות קפואים,18,16,50.75,17.2,80.00219367679244,71.05738374186298,3824.028083745229,תנובה תשלובת המותגים
שעועית צהובה קפואה,ירקות קפואים,ירקות ופירות קפואים,6,4,5.82,34.8,86.99058323989898,60.91882583194922,3136.5923471879505,תנובה תשלובת המותגים
מרגרינה למריחה,מרגרינה,מוצרי חלב ותחליפיו,5,5,8.69,,98.4621897607585,98.4621897607585,8433.264135976824,דיפלומט
שריר עם עצם (אוסובוקו)-8,נתחים קדמי טרי,קצביה בשרית טרי,7,3,11.39,71.7,78.50819100376926,28.25747229642573,2341.4737547399955,ספק כללי
שוקולד מריר מאגדת,שוקולד טבלאות מאגדת,שוקולד טבלאות,11,9,101.45,19.9,65.2615188114525,64.81950093500647,1889.141495692843,יוניליוור ישראל
