sub,gsum,gmax,n_giants,top_giant,g_any,g20,g50
אריזה משפחתית,0.6129727958806692,0.5438183636644196,3,שטראוס,1,1,1
גרנולה,0.17486490694145718,0.1282315631452304,2,אסם,1,0,0
משחות שיניים בריאותיות,0.008866902090357965,0.008866902090357965,1,דיפלומט,1,0,0
מי פה,0.011087192118828634,0.011087192118828634,1,דיפלומט,1,0,0
בייגלה אריזה משפחתית 231-750גר,0.37140219824924614,0.37140219824924614,1,אסם,1,1,0
פופקורן מוכן לאכילה,0.8345941052985518,0.7805134532639079,2,אסם,1,1,1
שעועית צהובה קפואה,0.444773418010394,0.444773418010394,1,תנובה,1,1,0
דובדבן קפוא,0.3319192259029364,0.3319192259029364,1,תנובה,1,1,0
מיקס פירות קפואים,0.29484038305994487,0.28784060707751,2,תנובה,1,1,0
מנגו קפוא,0.3490404138633872,0.3490404138633872,1,תנובה,1,1,0
קרקר חטיפים,0.16930663856768982,0.16176623295648995,2,אסם,1,0,0
אפטר שייב,0.036411551856993615,0.036411551856993615,1,דיפלומט,1,0,0
גבינות מיוחדות מדף הולנדית,0.17916638068562335,0.1753253787700291,2,תנובה,1,0,0
גבינות מיוחדות מדף שוויצריות,0.9465775285754795,0.9465775285754795,1,תנובה,1,1,1
גבינות צהובות מדף רגיל,0.7779634242359569,0.6387957841930275,2,תנובה,1,1,1
יוגורט בטעמים דיאט,0.964233054762111,0.6103433233728818,3,תנובה,1,1,1
יוגורט לבן חלבון,1.0,0.6762607451610301,3,שטראוס,1,1,1
רטבי שמנת,0.8349655970131844,0.818560069306143,2,שטראוס,1,1,1
מעדן גלי,1.0000000000000002,0.9226042046334274,2,תנובה,1,1,1
משקה חלב אישי קרטון/בקבוק,0.9999402268816722,0.6807594665601387,3,שטראוס,1,1,1
משקה שקדים מצונן,1.0,0.9413624208711491,2,תנובה,1,1,1
טופו בטעמים,0.9306551940154139,0.6988937187168192,2,תנובה,1,1,1
מארז בקבוק מים אישי 1-0 ליטר,0.31149548400936655,0.31149548400936655,1,החברה המרכזית,1,1,0
משקה דיאט קולה מארז משפחתי,0.814392463350866,0.814392463350866,1,החברה המרכזית,1,1,1
ניקוי אסלות מתכלה ללא מתלה,1.0,1.0,1,דיפלומט,1,1,1
ממרח עגבניות מיובשות מצונן,0.8289272313953308,0.5543955111637446,3,שטראוס,1,1,1
סלט חומוס חלק מ-400-599גר,0.697889654220978,0.39437927881990986,2,שטראוס,1,1,0
סלט חצילים עד-199גר,0.9248628434959844,0.9248628434959844,1,שטראוס,1,1,1
אבקת שוקו,0.8350306171818802,0.8332970949654248,2,שטראוס,1,1,1
בשר ראש טרי,0.7439203569575799,0.7439203569575799,1,תנובה,1,1,1
צוואר עם עצם טרי,0.36208336740217184,0.36208336740217184,1,תנובה,1,1,0
