מחלקה,קטגוריה,תת קטגוריה,מכר סה״כ,מכר 2022,מכר 2025,טון,אלפי ליטרים,אלפי יחידות,ספקים,יצרנים,חודשים,חלק מהקטגוריה %
אביזרים ומוצרי תינוקות,אביזרי טיפול לתינוק,פדיות להנקה,19.041,4.101,4.112,0.0,0.0,35240.19,13,17,55,100.0
אביזרים ומוצרי תינוקות,חיתולים,חיתולים מידה 3-5,2061.116,425.829,470.851,0.0,0.0,2260577.32,7,7,55,64.24
אביזרים ומוצרי תינוקות,חיתולים,חיתולים מידה 6,601.342,108.816,148.702,0.0,0.0,526235.98,4,4,55,18.74
אביזרים ומוצרי תינוקות,חיתולים,חיתולים מידה 1-2,289.289,63.102,64.464,0.0,0.0,419068.63,4,4,55,9.02
אביזרים ומוצרי תינוקות,חיתולים,חיתולי גמילה,218.564,41.378,54.971,0.0,0.0,129437.84,3,3,55,6.81
אביזרים ומוצרי תינוקות,חיתולים,חיתולי בריכה /ים,38.096,7.571,8.78,0.0,0.0,15299.18,3,3,55,1.19
אביזרים ומוצרי תינוקות,מגבונים לחים,מגבונים במארז 4יח,1093.119,230.759,251.839,0.0,0.0,247598.39,21,26,55,59.52
אביזרים ומוצרי תינוקות,מגבונים לחים,מגבונים במארז 6יח ומעלה,408.902,82.0,95.666,0.0,0.0,133030.91,8,8,55,22.27
אביזרים ומוצרי תינוקות,מגבונים לחים,מגבונים במארז 5יח,142.083,34.684,27.0,0.0,0.0,38849.56,11,11,55,7.74
אביזרים ומוצרי תינוקות,מגבונים לחים,מגבונים יחידה אחת,97.394,22.267,20.059,0.0,0.0,25491.8,32,35,55,5.3
אביזרים ומוצרי תינוקות,מגבונים לחים,מגבונים במארז 3יח,94.756,11.345,24.454,0.0,0.0,19953.12,6,6,55,5.16
אביזרים ומוצרי תינוקות,מגבונים לחים,מגבונים במארז 2יח,0.167,0.117,,0.0,0.0,48.19,2,2,13,0.01
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,סבון לתינוק,189.648,36.393,44.62,0.0,8058.68,9543.81,11,11,55,36.33
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,שמפו לתינוק,90.082,17.263,21.121,0.0,3973.39,4620.94,10,8,55,17.26
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,משחה לתינוק,89.346,20.521,18.603,530.28,0.0,4535.52,16,17,55,17.12
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,תחליבי גוף לתינוק/סטים,50.03,8.733,12.014,0.0,1008.2,2033.3,7,7,55,9.58
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,שמן לתינוק,31.954,5.468,8.412,0.0,538.06,1475.9,7,6,55,6.12
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,שמן אמבט לתינוק,31.186,6.584,7.395,0.0,215.25,513.36,3,3,55,5.97
אביזרים ומוצרי תינוקות,תכשירי טיפוח וניקוי תינוקות,טלק,17.268,3.396,4.133,216.68,0.0,822.45,7,5,55,3.31
