תת קטגוריה,קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
חלב טרי קרטון/כד עד 1 ליטר,חלב,מוצרי חלב ותחליפיו,ליטר,1049,4090.7,100.0
גבינות צהובות מדף רגיל,גבינות צהובות מדף,מוצרי חלב ותחליפיו,"ק""ג",2550,2764.41,100.0
דג סלמון בואקום,דגים קפואים בואקום,דגים קפואים,"ק""ג",4990,2701.54,100.0
חטיפי ציפס,חטיפים,חטיפים מלוחים,"ק""ג",5306,2304.22,100.0
טחון טרי,בשר טחון טרי,קצביה בשרית טרי,"ק""ג",3627,2208.17,100.0
שמן קנולה,שמנים רגילים,שמנים,ליטר,2603,2107.5,100.0
גבינות צהובות מעדניה רגיל,גבינות צהובות במשקל,מעדניה חלבית,"ק""ג",2319,2107.34,100.0
לחם מיוחד ארוז,לחם ארוז מיוחד,לחם ותחליפיו,"ק""ג",12686,2071.21,100.0
קוטג 5%,קוטג,מוצרי חלב ותחליפיו,"ק""ג",340,2064.17,100.0
חיתולים מידה 3-5,חיתולים,אביזרים ומוצרי תינוקות,יח' באריזה,3724,2061.12,100.0
יוגורט בטעמים/תוספות,יוגורט,מוצרי חלב ותחליפיו,ליטר,5261,2026.52,100.0
נייר טואלט 25-36 גלילים,נייר טואלט,מוצרי נייר,יח' באריזה,2943,1960.84,100.0
חלב מועשר,חלב,מוצרי חלב ותחליפיו,ליטר,813,1781.31,100.0
שימורי טונה בשמן צמחי,שימורי טונה,שימורים,"ק""ג",4451,1770.96,100.0
חטיפי בוטנים,חטיפים,חטיפים מלוחים,"ק""ג",2761,1750.28,100.0
פיתות ארוזות,פיתות ארוזות,לחם ותחליפיו,"ק""ג",8168,1720.45,99.28
שמן זית כתית מעולה,שמן זית,שמנים,ליטר,4519,1695.93,100.0
מארז בקבוק מים משפחתי 1.1 ליטר ומעלה,מים בבקבוק,משקאות לא אלכוהולים,ליטר,914,1678.94,100.0
יוגורט לבן,יוגורט,מוצרי חלב ותחליפיו,ליטר,4078,1636.78,100.0
דג אמנון בואקום,דגים קפואים בואקום,דגים קפואים,"ק""ג",3638,1582.39,100.0
"בירה לבנה מארז בקבוק 330 מ""ל",בירה לבנה באריזה,בירה לבנה,ליטר,3193,1579.91,100.0
יין שולחני אדום,יין אדום,יינות שולחניים,ליטר,9688,1576.02,100.0
קפה טורקי טחון,קפה טורקי,קפה/קקאו,"ק""ג",3435,1477.01,100.0
"משק""ל משפחתי 1ל ומעלה",משקאות קלים,משקאות לא אלכוהולים,ליטר,5684,1471.3,100.0
דגני ילדים,דגנים,דגנים ודגנים מיוחדים,"ק""ג",4392,1449.88,100.0
נמס מיובש בהקפאה,קפה נמס,קפה/קקאו,"ק""ג",1692,1436.0,100.0
חמאה בחפיסה,חמאה,מוצרי חלב ותחליפיו,"ק""ג",2108,1377.58,100.0
שניצל עוף טרי ארוז,עוף טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",4675,1363.65,100.0
חזה עוף טרי ארוז,עוף טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",4002,1328.98,100.0
אנטריקוט טרי - 1,נתחים קדמי טרי,קצביה בשרית טרי,"ק""ג",3603,1303.24,100.0
חטיפים בודדים,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,"ק""ג",5606,1252.34,100.0
חזה עוף טרי,חלקי עוף טרי,קצביה עוף טרי,"ק""ג",1116,1230.89,100.0
חלב טרי קרטון/כד 2 ליטר,חלב,מוצרי חלב ותחליפיו,ליטר,426,1214.32,100.0
מעדני חלב + קצפת,מעדנים,מוצרי חלב ותחליפיו,ליטר,1175,1193.02,100.0
ציפס קפוא,ירקות קפואים,ירקות ופירות קפואים,"ק""ג",3976,1180.9,100.0
חטיפים מלוחים לילדים,חטיפים,חטיפים מלוחים,"ק""ג",4966,1168.35,100.0
כרעיים עוף טרי ארוז,עוף טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",4631,1166.77,100.0
יוגורט פרי וטעמים חלבון,יוגורט חלבון,מוצרי חלב ותחליפיו,ליטר,1664,1133.59,100.0
"מסטיק לל""ס בקבוקונים",מסטיקים ללא סוכר,מסטיקים,"ק""ג",4491,1127.51,100.0
לחמניות באריזה,לחמניות ארוזות,לחם ותחליפיו,"ק""ג",7900,1123.26,100.0
כוסות חד פעמי,כלים חד פעמים,אביזרים לארוח,יח' באריזה,21229,1112.39,100.0
משקה דיאט קולה מארז משפחתי,משקה קולה דיאט,משקאות לא אלכוהולים,ליטר,655,1110.08,100.0
מרכך כביסה מרוכז,מרכך כביסה,תכשירי כביסה,ליטר,6257,1102.33,100.0
מגבונים במארז 4יח,מגבונים לחים,אביזרים ומוצרי תינוקות,יח' באריזה,3620,1093.12,100.0
נוזל/ג'ל לכביסה,חומרים לכביסה,תכשירי כביסה,ליטר,5345,1070.15,100.0
שמנת מתוקה,מיכלי שמנת מתוקה,מוצרי חלב ותחליפיו,ליטר,562,1031.23,100.0
תחליפי חלב חיסכון שלב 2,תחליפי חלב אם חלבי,מזון תינוקות/ילדים,"ק""ג",615,1029.51,100.0
דג פילה סלמון טרי,דגי פילה טריים,קצביה דגים טריים,"ק""ג",1007,1026.69,100.0
מגבות נייר 6 גלילים,מגבות נייר,מוצרי נייר,יח' באריזה,1398,1019.94,100.0
"סבון לגוף מ-501 מ""ל- 750 מ""ל",סבון לגוף,סבוני רחצה,ליטר,8609,962.23,100.0
צלחות חד פעמי,כלים חד פעמים,אביזרים לארוח,יח' באריזה,31635,960.7,100.0
רסק עגבניות,שימורי עגבניות,שימורים,"ק""ג",2778,956.54,100.0
בשר בקר אחר,בשר בקר קפוא,בשר ועוף קפוא,"ק""ג",8089,948.38,100.0
מיונז רגיל,מיונז,רטבים וממרחים,"ק""ג",3404,941.01,99.99
משקה דיאט קולה משפחתי 1ל ומעלה,משקה קולה דיאט,משקאות לא אלכוהולים,ליטר,747,920.86,100.0
גבינות לבנות 200-250גר,גבינות לבנות,מוצרי חלב ותחליפיו,"ק""ג",661,917.78,100.0
חלקי עוף קפוא,עוף קפוא,בשר ועוף קפוא,"ק""ג",5643,913.94,100.0
חטיפי חיטה,חטיפים,חטיפים מלוחים,"ק""ג",3667,907.6,100.0
נישנושים,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,"ק""ג",4201,892.13,100.0
יין תירוש,יינות תירוש,יינות שולחניים,ליטר,3188,888.05,100.0
משקה קולה רגיל משפחתי 1ל ומעלה,משקה קולה רגיל,משקאות לא אלכוהולים,ליטר,615,883.97,100.0
אספרסו קפסולות,קפה אספרסו,קפה/קקאו,"ק""ג",10926,868.84,100.0
שמפו 401-749,שמפו,טיפוח השיער,ליטר,6063,867.8,100.0
כרעיים עוף טרי,חלקי עוף טרי,קצביה עוף טרי,"ק""ג",1121,859.27,100.0
תחבושות אולטרא דקות,הגיינה נשית,היגיינה וטיפוח הגוף,יח' באריזה,6601,854.25,100.0
משקה קולה רגיל מארז משפחתי,משקה קולה רגיל,משקאות לא אלכוהולים,ליטר,652,847.95,100.0
שניצל עוף טרי,חלקי עוף טרי,קצביה עוף טרי,"ק""ג",784,844.88,100.0
וויסקי,משקאות וויסקי,משקאות חריפים,ליטר,2952,833.68,100.0
נוזל לשטיפת כלים,נוזל כלים,שטיפת כלים,ליטר,6847,829.31,100.0
לחם מפוקח ארוז,לחם מפוקח ארוז,לחם ותחליפיו,"ק""ג",1000,827.06,100.0
שוקיים עוף טרי ארוז,עוף טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",3696,826.78,100.0
